LST_Day_1km,date
14693.034518697625,2002-02-24
15061.731597108426,2002-02-25
14883.991696562516,2002-02-26
14984.560705073089,2002-02-27
14941.227698687864,2002-02-28
14904.803329819184,2002-03-01
14777.989518818486,2002-03-02
,2002-03-03
15016.047706525402,2002-03-04
14781.051707736911,2002-03-05
,2002-03-06
14816.771618665369,2002-03-07
14933.525213393414,2002-03-08
14875.73982401643,2002-03-09
14899.78440366971,2002-03-10
14795.092340372363,2002-03-11
,2002-03-12
15074.395974576277,2002-03-13
14934.846407282637,2002-03-14
15039.833040098576,2002-03-15
14950.517680259623,2002-03-16
15038.41569697074,2002-03-17
14941.771842348891,2002-03-18
,2002-03-19
,2002-03-28
15287.286933211917,2002-03-29
14970.14794797109,2002-03-30
15116.994349733895,2002-03-31
15162.770033625779,2002-04-01
15015.152838836402,2002-04-02
15205.576368513855,2002-04-03
,2002-04-04
15251.532887772051,2002-04-05
14956.123867487373,2002-04-06
15163.30571998582,2002-04-07
15003.548275122372,2002-04-08
15034.006346192285,2002-04-09
14939.948463717592,2002-04-10
14802.270349547789,2002-04-11
15203.457515197599,2002-04-12
14839.088364965044,2002-04-13
15162.063031991045,2002-04-14
15139.674058721661,2002-04-16
14889.441984645357,2002-04-17
,2002-04-18
15033.70698088039,2002-04-19
,2002-04-20
15157.038366917695,2002-04-21
14918.28781933211,2002-04-22
14726.833805324057,2002-04-23
14808.749231697575,2002-04-24
14951.470689805268,2002-04-25
15206.444044147524,2002-04-26
14894.42329777063,2002-04-27
15245.80260022751,2002-04-28
14795.06903376861,2002-04-29
15223.228359461009,2002-04-30
14918.838887221047,2002-05-01
,2002-05-02
15026.574435098944,2002-05-03
14899.849196434594,2002-05-04
15167.081197756062,2002-05-05
,2002-05-06
15330.805736128534,2002-05-07
15261.275650964542,2002-05-08
15093.456722073897,2002-05-09
15034.345878434646,2002-05-10
14833.646230323116,2002-05-11
15045.972259111704,2002-05-12
14812.098144918344,2002-05-13
15145.958184304654,2002-05-14
14782.260000914377,2002-05-15
15256.793062195296,2002-05-16
15011.52259413326,2002-05-17
15072.840162375709,2002-05-18
15103.29325801809,2002-05-19
14826.374763577413,2002-05-20
15172.696130519525,2002-05-21
,2002-05-22
15056.747356398073,2002-05-23
15244.632754015325,2002-05-24
,2002-05-25
,2002-05-26
14915.274067507224,2002-05-27
15071.697251593763,2002-05-28
,2002-05-29
15026.084251568063,2002-05-30
,2002-05-31
15198.086364862795,2002-06-01
,2002-06-02
14966.346704871059,2002-06-03
,2002-06-04
14944.363989843547,2002-06-05
15247.47125596295,2002-06-06
,2002-06-07
14930.208920739347,2002-06-08
14920.980801778365,2002-06-09
15152.616220541744,2002-06-10
15120.40490928411,2002-06-11
15120.029681291056,2002-06-12
15042.606075356527,2002-06-13
15020.091964262769,2002-06-14
15132.672208447148,2002-06-15
,2002-06-16
15096.82483378067,2002-06-17
,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
14962.874944604475,2002-06-22
,2002-06-23
15115.238576832584,2002-06-24
14987.356102333311,2002-06-25
,2002-06-26
,2002-06-27
,2002-06-28
14933.14401337132,2002-06-29
14779.095469536536,2002-06-30
,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
14967.789286545749,2002-07-10
,2002-07-11
,2002-07-12
,2002-07-13
,2002-07-14
14521.2,2002-07-15
14982.516897465084,2002-07-16
15088.511393675582,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
,2002-07-21
14708.102940144556,2002-07-22
14948.921919379505,2002-07-23
14891.417547083141,2002-07-24
,2002-07-25
14951.75,2002-07-26
,2002-07-27
15039.255461751003,2002-07-28
14597.169917864476,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
14967.837728913019,2002-08-02
,2002-08-03
,2002-08-04
14823.078555571636,2002-08-05
,2002-08-06
14829.088450558009,2002-08-07
14691.75934163701,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
,2002-08-18
,2002-08-19
15171.547482187987,2002-08-20
,2002-08-21
15009.010107074124,2002-08-22
15009.034253873522,2002-08-23
14830.887164395712,2002-08-24
15026.065036270917,2002-08-25
,2002-08-26
15047.91618334048,2002-08-27
,2002-08-28
,2002-08-29
14853.516411242786,2002-08-30
14974.397359862252,2002-08-31
15014.207073453439,2002-09-01
14617.020787016452,2002-09-02
15078.647103251351,2002-09-03
,2002-09-04
,2002-09-05
,2002-09-06
,2002-09-07
,2002-09-08
15004.860211895995,2002-09-09
14834.968622718354,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
14825.943646996277,2002-09-15
15110.249065286165,2002-09-16
14718.472977008061,2002-09-17
,2002-09-18
15023.830041636073,2002-09-19
,2002-09-20
14973.05744499794,2002-09-21
14848.118014898006,2002-09-22
15004.553244870356,2002-09-23
14966.139330967255,2002-09-24
14865.908962068372,2002-09-25
15081.275776034676,2002-09-26
,2002-09-27
15044.182805724518,2002-09-28
14974.228679722046,2002-09-29
14931.078422749928,2002-09-30
,2002-10-01
14866.234935935578,2002-10-02
14950.619043767992,2002-10-03
,2002-10-04
15046.289306580566,2002-10-05
,2002-10-06
15001.591815167078,2002-10-07
14906.59924786757,2002-10-08
14883.849452954053,2002-10-09
14947.159984183469,2002-10-10
14828.274727304712,2002-10-11
14974.289486666834,2002-10-12
,2002-10-13
14966.261292479785,2002-10-14
,2002-10-15
14920.775490355001,2002-10-16
14882.795122299081,2002-10-17
14934.978047974766,2002-10-18
14921.128673826237,2002-10-19
14822.659386708734,2002-10-20
,2002-10-21
14814.493047299044,2002-10-22
14730.0,2002-10-23
14865.890248122068,2002-10-24
15066.866874922414,2002-10-25
14859.233717829578,2002-10-26
14687.75436025534,2002-10-27
14969.208201392026,2002-10-28
,2002-10-29
14925.654930606283,2002-10-30
14821.312372555494,2002-10-31
14934.211031520927,2002-11-01
14861.283355350064,2002-11-02
,2002-11-03
,2002-11-04
,2002-11-05
14717.743630344034,2002-11-06
14595.910691157425,2002-11-07
14996.105038614845,2002-11-08
14775.0,2002-11-09
,2002-11-10
14932.804072881843,2002-11-11
14867.843770342404,2002-11-12
14946.59468993794,2002-11-13
,2002-11-14
15005.295359210402,2002-11-15
14800.69561658785,2002-11-16
14951.81350183802,2002-11-17
14839.253071425555,2002-11-18
14995.386807177789,2002-11-19
14992.140421337579,2002-11-20
14754.12335248395,2002-11-21
14890.133372609787,2002-11-22
,2002-11-23
14739.406359053899,2002-11-24
14808.180336773492,2002-11-25
14948.666103563894,2002-11-26
,2002-11-27
14875.165439576886,2002-11-28
14950.98745291563,2002-11-29
,2002-11-30
14981.608563385393,2002-12-01
14789.812054711008,2002-12-02
14984.484231163073,2002-12-03
14732.464265773311,2002-12-04
,2002-12-05
14930.143151509534,2002-12-06
14888.403973714967,2002-12-07
14926.664654580274,2002-12-08
,2002-12-09
14949.277117424452,2002-12-10
14489.294599514564,2002-12-11
14923.984251489486,2002-12-12
14910.73792318581,2002-12-13
14871.72648762647,2002-12-14
14957.186114469965,2002-12-15
,2002-12-16
14967.207713279042,2002-12-17
14769.351037417338,2002-12-18
14886.701780012434,2002-12-19
14877.175850261634,2002-12-20
14826.606999312644,2002-12-21
14955.71121156382,2002-12-22
14897.69756624434,2002-12-23
14941.304789640004,2002-12-24
14836.319214727455,2002-12-25
14881.13975898971,2002-12-26
14615.0942710913,2002-12-27
14843.431738168949,2002-12-28
14823.692543278305,2002-12-29
14673.510949030368,2002-12-30
14916.522529629427,2002-12-31
,2003-01-01
14719.607920792077,2003-01-02
14603.468690595206,2003-01-03
14791.366432290273,2003-01-04
14801.490379889054,2003-01-05
14394.157967988865,2003-01-06
14661.677892854483,2003-01-07
14260.580687582195,2003-01-08
14958.355785468939,2003-01-09
14638.148788623594,2003-01-10
14837.747853966286,2003-01-11
14679.537018069383,2003-01-12
14731.216057166876,2003-01-13
14786.430835839936,2003-01-14
14890.139763337078,2003-01-15
14909.983265338627,2003-01-16
,2003-01-17
14729.06739102316,2003-01-18
14789.4517604623,2003-01-19
14929.137980065705,2003-01-20
14727.031739203068,2003-01-21
14782.680909490336,2003-01-22
14858.46134274782,2003-01-23
14557.783097887237,2003-01-24
14966.065454031837,2003-01-25
,2003-01-26
14862.364899906644,2003-01-27
14790.859615792184,2003-01-28
14903.423863162285,2003-01-29
14805.999578503694,2003-01-30
14895.063042253518,2003-01-31
,2003-02-01
,2003-02-02
14897.967974864958,2003-02-03
14710.620537897314,2003-02-04
14944.766624637861,2003-02-05
14626.050794903336,2003-02-06
14921.785332628742,2003-02-07
14906.232485518447,2003-02-08
14849.516545706398,2003-02-09
15031.393772215633,2003-02-10
14589.31612446959,2003-02-11
15057.215390493438,2003-02-12
14882.461304112268,2003-02-13
15057.08727324668,2003-02-14
14867.706198059017,2003-02-15
14868.540334340334,2003-02-16
15100.455112158616,2003-02-17
,2003-02-18
14989.581804166188,2003-02-19
14873.442932299798,2003-02-20
14787.01446895262,2003-02-21
14896.95945945946,2003-02-22
14887.487861175045,2003-02-23
14841.753335557036,2003-02-24
14936.39737082883,2003-02-25
15064.610478481372,2003-02-26
14875.440565088127,2003-02-27
15121.30084419125,2003-02-28
14919.691771904107,2003-03-01
15058.574331039397,2003-03-02
15051.765533650914,2003-03-03
14951.955129017275,2003-03-04
15096.88470884346,2003-03-05
,2003-03-06
15159.791070411939,2003-03-07
14757.112529123342,2003-03-08
14824.059165193548,2003-03-09
14951.569005876227,2003-03-10
14889.470927295955,2003-03-11
15030.18087696878,2003-03-12
14895.628442382667,2003-03-13
15077.884463763408,2003-03-14
14756.240328288086,2003-03-15
15107.780907879169,2003-03-16
14892.678825678817,2003-03-17
15074.214250571082,2003-03-18
14984.725637721267,2003-03-19
14952.647636937547,2003-03-20
15159.204790986161,2003-03-21
,2003-03-22
15230.032201412396,2003-03-23
14881.642316240663,2003-03-24
15234.96044349787,2003-03-25
14949.465486725665,2003-03-26
14985.858958689796,2003-03-27
15220.41243439313,2003-03-28
14969.853528327127,2003-03-29
15253.552613266527,2003-03-30
,2003-03-31
14901.191705238642,2003-04-01
14933.11462168286,2003-04-02
15110.767557558449,2003-04-03
15164.393515487876,2003-04-04
15010.961696342192,2003-04-05
15244.900997375318,2003-04-06
,2003-04-07
15289.35885274279,2003-04-08
14960.229239894554,2003-04-09
15208.068471986486,2003-04-10
15091.78543603537,2003-04-11
15007.989269175769,2003-04-12
15232.696418931726,2003-04-13
14998.939808278503,2003-04-14
15312.713818339686,2003-04-15
14909.604984646796,2003-04-16
15336.479470009745,2003-04-17
15013.95020742216,2003-04-18
15061.84351344145,2003-04-19
15143.340874085472,2003-04-20
14994.434573999324,2003-04-21
15282.038814302801,2003-04-22
,2003-04-23
15234.800765458282,2003-04-24
14963.397920664827,2003-04-25
15260.107632450321,2003-04-26
15138.215678300601,2003-04-27
14928.727341432008,2003-04-28
15200.14481370511,2003-04-29
15075.156968626123,2003-04-30
15301.198451221611,2003-05-01
14779.914079267419,2003-05-02
15184.822918688136,2003-05-03
14829.0,2003-05-04
15042.0583886028,2003-05-05
15166.234943676862,2003-05-06
14877.731104846294,2003-05-07
15220.853208002873,2003-05-08
,2003-05-09
15190.24962630792,2003-05-10
,2003-05-11
15111.455814740038,2003-05-12
15045.256569880721,2003-05-13
14957.596893031516,2003-05-14
15023.633065969721,2003-05-15
15127.317092950718,2003-05-16
,2003-05-17
,2003-05-18
15260.665288750613,2003-05-19
,2003-05-20
,2003-05-21
,2003-05-22
14735.23897748593,2003-05-23
14971.893877551021,2003-05-24
,2003-05-25
,2003-05-26
,2003-05-27
,2003-05-28
,2003-05-29
,2003-05-30
,2003-05-31
14803.377985642808,2003-06-01
14866.02976041927,2003-06-02
,2003-06-03
15036.969917447881,2003-06-04
14935.035576329596,2003-06-05
,2003-06-06
15016.069219646635,2003-06-07
14881.460745546428,2003-06-08
,2003-06-09
,2003-06-10
15196.29055928484,2003-06-11
15135.300912727122,2003-06-12
,2003-06-13
14844.44680851064,2003-06-14
,2003-06-15
,2003-06-16
15162.741994697124,2003-06-17
15052.177657425082,2003-06-18
,2003-06-19
14953.334188582423,2003-06-20
14923.991698196378,2003-06-21
,2003-06-22
,2003-06-23
,2003-06-24
15063.746663399294,2003-06-25
,2003-06-26
,2003-06-27
,2003-06-28
14891.952802359878,2003-06-29
,2003-06-30
14890.74421544059,2003-07-01
14959.760417071297,2003-07-02
,2003-07-03
15037.994480220792,2003-07-04
14888.829315029765,2003-07-05
14778.12844558113,2003-07-06
,2003-07-07
,2003-07-08
14729.923466706705,2003-07-09
14911.416368497506,2003-07-10
15067.205636238483,2003-07-11
,2003-07-12
15033.897113229927,2003-07-13
14786.793038391543,2003-07-14
15028.433732469446,2003-07-15
14806.899270072992,2003-07-16
,2003-07-17
,2003-07-18
,2003-07-19
,2003-07-20
,2003-07-21
,2003-07-22
,2003-07-23
14982.842898222027,2003-07-24
15005.651763670598,2003-07-25
14893.01121988211,2003-07-26
14976.37528298601,2003-07-27
,2003-07-28
15068.849572361616,2003-07-29
,2003-07-30
14835.362309408698,2003-07-31
,2003-08-01
,2003-08-02
14630.264894298525,2003-08-03
14909.194308231174,2003-08-04
,2003-08-05
,2003-08-06
,2003-08-07
,2003-08-08
14862.492453007524,2003-08-09
14867.421885050517,2003-08-10
14954.478646786318,2003-08-11
15054.46169239963,2003-08-12
,2003-08-13
15063.664273786037,2003-08-14
,2003-08-15
,2003-08-16
,2003-08-17
,2003-08-18
,2003-08-19
,2003-08-20
14953.482200574614,2003-08-21
,2003-08-22
,2003-08-23
,2003-08-24
15023.839297848239,2003-08-25
,2003-08-26
14874.407333499628,2003-08-27
,2003-08-28
,2003-08-29
15020.118346243587,2003-08-30
14472.621498438062,2003-08-31
,2003-09-01
,2003-09-02
,2003-09-03
,2003-09-04
14297.0,2003-09-05
15141.311699650754,2003-09-06
,2003-09-07
,2003-09-08
14936.73864358115,2003-09-09
14810.665599933503,2003-09-10
,2003-09-11
,2003-09-12
,2003-09-13
,2003-09-14
15065.46430632674,2003-09-15
,2003-09-16
,2003-09-17
,2003-09-18
14940.582306018858,2003-09-19
,2003-09-20
,2003-09-21
14965.82902506894,2003-09-22
14771.709843523471,2003-09-23
15108.404335026311,2003-09-24
14850.347326849273,2003-09-25
,2003-09-26
14737.980622270743,2003-09-27
,2003-09-28
14956.479149213439,2003-09-29
,2003-09-30
15008.574110011416,2003-10-01
14909.0,2003-10-02
14989.0600808161,2003-10-03
14864.918030222032,2003-10-04
14835.342916779848,2003-10-05
14803.697132616488,2003-10-06
14795.05439401665,2003-10-07
15048.344695977787,2003-10-08
,2003-10-09
15024.39668966971,2003-10-10
,2003-10-11
14855.534521846661,2003-10-12
14858.34099616858,2003-10-13
14758.241365251326,2003-10-14
14917.927874964154,2003-10-15
,2003-10-16
,2003-10-17
,2003-10-18
14802.761964496143,2003-10-19
,2003-10-20
,2003-10-21
,2003-10-22
,2003-10-23
,2003-10-24
14752.479591836734,2003-10-25
14998.884770368413,2003-10-26
14929.61492021227,2003-10-27
14918.237879575323,2003-10-28
14923.517695545052,2003-10-29
14718.813825608793,2003-10-30
14959.737139048259,2003-10-31
,2003-11-01
15088.232975953202,2003-11-02
14905.279611463116,2003-11-03
14930.84454286143,2003-11-04
14826.894123798704,2003-11-05
14921.658073902745,2003-11-06
14928.471551930912,2003-11-07
15181.470372460497,2003-11-08
14973.370947898493,2003-11-09
,2003-11-10
14987.924371844823,2003-11-11
,2003-11-12
15051.702663816073,2003-11-13
,2003-11-14
,2003-11-15
15006.1760457828,2003-11-16
,2003-11-17
14908.609596310556,2003-11-18
,2003-11-19
14982.013956052224,2003-11-20
14818.369896283204,2003-11-21
14911.616880172825,2003-11-22
14982.061025237543,2003-11-23
14720.741468459153,2003-11-24
14951.68306385034,2003-11-25
14559.229166666666,2003-11-26
14767.565032504031,2003-11-27
14739.643960496327,2003-11-28
14789.090235482574,2003-11-29
14812.29901806038,2003-11-30
14447.961656591266,2003-12-01
14928.892066347198,2003-12-02
,2003-12-03
15008.210559183333,2003-12-04
14915.932182988281,2003-12-05
14666.95322874435,2003-12-06
14773.34327502151,2003-12-07
,2003-12-08
14950.392024339768,2003-12-09
,2003-12-10
14891.996135351745,2003-12-11
,2003-12-12
14703.659567442626,2003-12-13
14487.964014923578,2003-12-14
14831.690770694577,2003-12-15
14689.473011494256,2003-12-16
,2003-12-24
14712.871748317431,2003-12-25
,2003-12-26
,2003-12-27
,2003-12-28
14640.167491934884,2003-12-29
,2003-12-30
14775.57101757458,2003-12-31
14817.80142534315,2004-01-01
14799.997811521907,2004-01-02
14865.770289664495,2004-01-03
,2004-01-04
,2004-01-05
14738.865189959606,2004-01-06
14918.543174417884,2004-01-07
14901.759411291012,2004-01-08
14901.29586842907,2004-01-09
14969.821855403705,2004-01-10
14797.677153877194,2004-01-11
14874.765795255582,2004-01-12
14779.869543401906,2004-01-13
14943.993639380526,2004-01-14
14839.93305450512,2004-01-15
14662.111000142675,2004-01-16
14907.987804396056,2004-01-17
14674.788989870953,2004-01-18
14954.422425443046,2004-01-19
,2004-01-20
15011.566938545382,2004-01-21
14782.605591194837,2004-01-22
14890.585758359044,2004-01-23
,2004-01-24
,2004-01-25
,2004-01-26
,2004-01-27
14869.849594387199,2004-01-28
14778.144261928705,2004-01-29
15053.98466637754,2004-01-30
14745.278282084533,2004-01-31
