LST_Day_1km,date
14889.859310847063,2002-02-24
15008.582166216405,2002-02-25
14766.193179528502,2002-02-26
15006.731803848492,2002-02-27
14809.75376049245,2002-02-28
15000.033504494702,2002-03-01
14914.751055484767,2002-03-02
,2002-03-03
14828.915111870952,2002-03-04
,2002-03-05
,2002-03-06
,2002-03-07
14887.35366193425,2002-03-08
14793.95251730204,2002-03-09
14754.527819548872,2002-03-10
,2002-03-11
,2002-03-12
15002.369073018242,2002-03-13
14676.354493915042,2002-03-14
15090.106860114742,2002-03-15
14893.040190734651,2002-03-16
14832.660982948846,2002-03-17
14880.09652047325,2002-03-18
14862.183343541657,2002-03-19
,2002-03-28
15136.120590656234,2002-03-29
14917.859288789,2002-03-30
15168.455392389998,2002-03-31
,2002-04-01
15109.154067028201,2002-04-02
15109.994748200888,2002-04-03
15004.288870226967,2002-04-04
15115.482325542367,2002-04-05
,2002-04-06
15171.810285270354,2002-04-07
14901.180015997503,2002-04-08
15061.603840002383,2002-04-09
14829.21474654378,2002-04-10
14945.933744996577,2002-04-11
15015.2876054633,2002-04-12
,2002-04-13
14990.971020010253,2002-04-14
15110.41493761859,2002-04-16
14736.14204941938,2002-04-17
14844.021479580451,2002-04-18
15011.493567791422,2002-04-19
,2002-04-20
,2002-04-21
,2002-04-22
15000.994625921492,2002-04-23
14632.187685150644,2002-04-24
15096.514317176356,2002-04-25
14926.181730338376,2002-04-26
14933.827071837888,2002-04-27
15032.436064762895,2002-04-28
14830.100938496586,2002-04-29
15117.00956255075,2002-04-30
14725.993388891735,2002-05-01
14884.037963895564,2002-05-02
14916.644967375314,2002-05-03
15004.84233855905,2002-05-04
14851.291549633122,2002-05-05
14854.172582931225,2002-05-06
15102.308363497561,2002-05-07
,2002-05-08
15011.768817332168,2002-05-09
,2002-05-10
15045.05919202458,2002-05-11
14890.671015856813,2002-05-12
14875.144318932007,2002-05-13
14975.86242896346,2002-05-14
14882.141446254436,2002-05-15
15182.767222755525,2002-05-16
14834.511292915293,2002-05-17
15170.14596715105,2002-05-18
14938.940008420497,2002-05-19
15093.271525952754,2002-05-20
15052.515120037518,2002-05-21
14758.848712263349,2002-05-22
14982.947718501084,2002-05-23
,2002-05-24
15073.685765469883,2002-05-25
15126.36500118882,2002-05-26
15128.750700216022,2002-05-27
15027.42277744331,2002-05-28
,2002-05-29
,2002-05-30
,2002-05-31
15135.67676736449,2002-06-01
,2002-06-02
15079.654104899679,2002-06-03
14948.34266442798,2002-06-04
15049.22987422121,2002-06-05
15101.981657180206,2002-06-06
15078.983382422852,2002-06-07
15077.897978394301,2002-06-08
,2002-06-09
15151.078869571955,2002-06-10
14751.114455900426,2002-06-11
,2002-06-12
14914.562581813743,2002-06-13
14986.688417478967,2002-06-14
14878.334857469457,2002-06-15
15422.108109351984,2002-06-16
15072.702431843281,2002-06-17
,2002-06-18
,2002-06-19
,2002-06-20
14671.673340066684,2002-06-21
15019.16136482969,2002-06-22
14892.886425534625,2002-06-23
15074.849540861169,2002-06-24
,2002-06-25
,2002-06-26
,2002-06-27
,2002-06-28
14988.899165165667,2002-06-29
,2002-06-30
,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
14957.298070013345,2002-07-05
,2002-07-06
,2002-07-07
15088.74892136284,2002-07-08
15073.122578274402,2002-07-09
15132.315067366819,2002-07-10
,2002-07-11
14917.109151479528,2002-07-12
,2002-07-13
14966.577486803317,2002-07-14
15085.659386681298,2002-07-15
15036.776542369,2002-07-16
15091.686554698881,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
15060.372620044493,2002-07-21
14959.357667434213,2002-07-22
15004.72158474707,2002-07-23
14920.993505043536,2002-07-24
,2002-07-25
15050.629326249138,2002-07-26
,2002-07-27
15162.10598909341,2002-07-28
15120.869726858882,2002-07-29
,2002-07-30
,2002-07-31
,2002-08-01
15050.97526083826,2002-08-02
,2002-08-03
,2002-08-04
,2002-08-05
,2002-08-06
14924.93608735134,2002-08-07
14966.146230408425,2002-08-08
14994.860327150014,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
14897.018181818183,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
,2002-08-17
15017.972322001646,2002-08-18
14787.0,2002-08-19
15172.44865497076,2002-08-20
,2002-08-21
15154.391120265807,2002-08-22
14965.6575161237,2002-08-23
14984.948448304463,2002-08-24
14924.233710767434,2002-08-25
14955.910004302921,2002-08-26
15045.77186754348,2002-08-27
,2002-08-28
15063.86550151976,2002-08-29
14921.627379245121,2002-08-30
,2002-08-31
14999.619235318414,2002-09-01
14987.953028794593,2002-09-02
15045.303839402915,2002-09-03
14915.037214302294,2002-09-04
15017.169797786584,2002-09-05
,2002-09-06
,2002-09-07
15032.931892588882,2002-09-08
14893.350421348316,2002-09-09
,2002-09-10
,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
,2002-09-16
,2002-09-17
,2002-09-18
,2002-09-19
,2002-09-20
15060.173252279634,2002-09-21
15240.310250108425,2002-09-22
15127.79343718435,2002-09-23
14981.74263220988,2002-09-24
14883.756300539877,2002-09-25
14945.735448724065,2002-09-26
14985.142895417777,2002-09-27
15063.714477535528,2002-09-28
,2002-09-29
15061.879002894226,2002-09-30
,2002-10-01
15025.747021591453,2002-10-02
14902.223631171468,2002-10-03
14942.8095970232,2002-10-04
14904.749074826648,2002-10-05
14772.891849830523,2002-10-06
15079.204694831573,2002-10-07
14849.911778165348,2002-10-08
15090.501484361432,2002-10-09
14891.173102081537,2002-10-10
14987.550077175854,2002-10-11
15013.848914021275,2002-10-12
,2002-10-13
15002.134496256149,2002-10-14
,2002-10-15
15096.088542487336,2002-10-16
14919.014020950854,2002-10-17
15032.217598611196,2002-10-18
14794.7005060136,2002-10-19
14816.782345909893,2002-10-20
,2002-10-21
,2002-10-22
15041.210695388765,2002-10-23
14816.094180569535,2002-10-24
15075.123657766237,2002-10-25
14891.045209401995,2002-10-26
,2002-10-27
14873.058482113884,2002-10-28
14916.134415480572,2002-10-29
14965.112346333737,2002-10-30
,2002-10-31
15030.376234790177,2002-11-01
,2002-11-02
15016.85474506078,2002-11-03
14930.862203060276,2002-11-04
,2002-11-05
,2002-11-06
,2002-11-07
15037.507116921091,2002-11-08
,2002-11-09
,2002-11-10
14758.769167662174,2002-11-11
14921.941318548383,2002-11-12
15001.428939704987,2002-11-13
14889.969353394028,2002-11-14
15010.789503487928,2002-11-15
,2002-11-16
15061.788502894931,2002-11-17
14975.466872543517,2002-11-18
,2002-11-19
14889.625601788177,2002-11-20
14862.619511440938,2002-11-21
14923.239218636421,2002-11-22
,2002-11-23
14916.970697603681,2002-11-24
14528.02101241643,2002-11-25
14988.187375317078,2002-11-26
14803.449181875376,2002-11-27
14922.762612572104,2002-11-28
14728.293144208039,2002-11-29
15111.0,2002-11-30
14870.986598611631,2002-12-01
,2002-12-02
,2002-12-03
14575.239660929872,2002-12-04
14953.326286335538,2002-12-05
14915.86110864882,2002-12-06
15027.618832600183,2002-12-07
15005.495993915463,2002-12-08
14933.131380341702,2002-12-09
14915.00134100005,2002-12-10
14610.331314016983,2002-12-11
14851.38313628296,2002-12-12
14651.940824583611,2002-12-13
14970.902316979376,2002-12-14
14841.782315789475,2002-12-15
14952.117234497922,2002-12-16
14861.467291413906,2002-12-17
,2002-12-18
14962.756690325034,2002-12-19
14725.405157115416,2002-12-20
14998.307982977534,2002-12-21
14930.56412894678,2002-12-22
,2002-12-23
14900.318442622955,2002-12-24
,2002-12-25
14893.592656754812,2002-12-26
14852.276292380755,2002-12-27
14972.585391553937,2002-12-28
14835.663840584326,2002-12-29
14831.659577270037,2002-12-30
14971.786308837914,2002-12-31
,2003-01-01
14726.251710199007,2003-01-02
,2003-01-03
14829.675693607365,2003-01-04
14904.359402647038,2003-01-05
14756.235545226009,2003-01-06
,2003-01-07
14955.845077194297,2003-01-08
14894.444041271545,2003-01-09
,2003-01-10
14902.851367355723,2003-01-11
14686.696919936983,2003-01-12
15028.876423841699,2003-01-13
14687.71074233745,2003-01-14
14912.592953544143,2003-01-15
14831.859202545498,2003-01-16
14897.95437709354,2003-01-17
14936.2788607355,2003-01-18
,2003-01-19
14787.356029849589,2003-01-20
,2003-01-21
14826.349714218371,2003-01-22
14683.183648351649,2003-01-23
14702.080310262532,2003-01-24
14838.730230122304,2003-01-25
14493.462261144077,2003-01-26
14793.412549754159,2003-01-27
,2003-01-28
14773.38981550503,2003-01-29
14772.681208761967,2003-01-30
14861.738636363636,2003-01-31
,2003-02-01
,2003-02-02
14653.273332554605,2003-02-03
,2003-02-04
14858.25508314618,2003-02-05
14736.618221654971,2003-02-06
,2003-02-07
14715.787878787878,2003-02-08
14794.986507856394,2003-02-09
14871.199546664788,2003-02-10
14810.417348224391,2003-02-11
15019.298104726151,2003-02-12
14775.152390949592,2003-02-13
15037.978151956439,2003-02-14
14876.171219711654,2003-02-15
15012.658097914353,2003-02-16
14878.900062697923,2003-02-17
14863.856184139133,2003-02-18
14992.91324258302,2003-02-19
,2003-02-20
14849.251482815002,2003-02-21
14871.009486685587,2003-02-22
14687.4755352539,2003-02-23
14830.87408724734,2003-02-24
14955.796084773747,2003-02-25
15012.512927701522,2003-02-26
,2003-02-27
14999.077793343771,2003-02-28
14763.24698614878,2003-03-01
15032.8482999338,2003-03-02
14968.175948555001,2003-03-03
15079.286936802826,2003-03-04
14834.370506263436,2003-03-05
,2003-03-06
14948.824251585393,2003-03-07
,2003-03-08
14863.62142240414,2003-03-09
14806.096298583427,2003-03-10
14843.171008727952,2003-03-11
14687.625148932268,2003-03-12
14823.288579456763,2003-03-13
14899.044949903404,2003-03-14
,2003-03-15
14984.277429814829,2003-03-16
14633.113839648722,2003-03-17
14978.860852791291,2003-03-18
14903.333147063218,2003-03-19
15003.57386825293,2003-03-20
14965.523361595582,2003-03-21
14931.71583262574,2003-03-22
15117.161185941613,2003-03-23
,2003-03-24
15048.850079847723,2003-03-25
14905.831559393782,2003-03-26
15044.50624559194,2003-03-27
14966.522070172246,2003-03-28
14973.49346246697,2003-03-29
15032.593554386867,2003-03-30
14899.140806419038,2003-03-31
15138.136826234091,2003-04-01
14837.561696869408,2003-04-02
15214.157618538307,2003-04-03
15059.89183066233,2003-04-04
15207.420495691122,2003-04-05
15128.447229113042,2003-04-06
15017.899850410377,2003-04-07
15168.188465729872,2003-04-08
,2003-04-09
15227.576564369772,2003-04-10
14914.631285440564,2003-04-11
15204.684590466792,2003-04-12
15027.302514689165,2003-04-13
15098.45470161285,2003-04-14
15147.28380388517,2003-04-15
14991.557917490903,2003-04-16
15216.501085024904,2003-04-17
14858.434329920612,2003-04-18
15054.358149038779,2003-04-19
14996.104157124673,2003-04-20
15110.407811397656,2003-04-21
15082.47076239821,2003-04-22
14850.38000291079,2003-04-23
15155.759845467775,2003-04-24
,2003-04-25
15052.591057489686,2003-04-26
14825.601740578726,2003-04-27
15036.91946652988,2003-04-28
14998.441970815828,2003-04-29
15037.309565086303,2003-04-30
15042.231612213598,2003-05-01
14834.325183522418,2003-05-02
15175.930846685409,2003-05-03
14861.369353316662,2003-05-04
15161.611081913547,2003-05-05
14863.631268436575,2003-05-06
15005.288511638202,2003-05-07
15009.52860601739,2003-05-08
,2003-05-09
14977.463139635733,2003-05-10
,2003-05-11
15074.405815194408,2003-05-12
15240.455129352791,2003-05-13
15073.685752140233,2003-05-14
14847.672314816427,2003-05-15
,2003-05-16
,2003-05-17
,2003-05-18
15073.696900582416,2003-05-19
,2003-05-20
,2003-05-21
,2003-05-22
15009.893105129935,2003-05-23
15020.685942471882,2003-05-24
15082.472747994885,2003-05-25
14971.521474724439,2003-05-26
,2003-05-27
,2003-05-28
,2003-05-29
,2003-05-30
15133.099094482406,2003-05-31
15097.220477195277,2003-06-01
15047.051115068209,2003-06-02
15042.986847311871,2003-06-03
15134.275900114288,2003-06-04
14916.766635277136,2003-06-05
15182.314000227276,2003-06-06
15017.031925114388,2003-06-07
15077.88304236185,2003-06-08
15029.96981887627,2003-06-09
15100.818146451425,2003-06-10
15148.799140742303,2003-06-11
,2003-06-12
,2003-06-13
,2003-06-14
,2003-06-15
,2003-06-16
,2003-06-17
,2003-06-18
14981.93868563817,2003-06-19
15087.222376968686,2003-06-20
,2003-06-21
,2003-06-22
,2003-06-23
14888.679855148088,2003-06-24
15022.57643101017,2003-06-25
14796.6639335087,2003-06-26
14968.185385464116,2003-06-27
,2003-06-28
15055.030185643685,2003-06-29
,2003-06-30
,2003-07-01
14847.315642758631,2003-07-02
,2003-07-03
14888.137022123832,2003-07-04
14749.694368656954,2003-07-05
14958.43985046786,2003-07-06
,2003-07-07
14942.329842931937,2003-07-08
14826.25062920714,2003-07-09
14848.08068948289,2003-07-10
15039.075265207106,2003-07-11
14799.278039543136,2003-07-12
14983.596549010388,2003-07-13
,2003-07-14
