LST_Day_1km,date
15211.402366400249,2002-02-24
15096.269031520924,2002-02-25
,2002-02-26
15212.624933018924,2002-02-27
15016.42590131339,2002-02-28
15196.59268757523,2002-03-01
14869.721372439295,2002-03-02
15158.849691174746,2002-03-03
14922.410418029376,2002-03-04
,2002-03-05
15118.170662071827,2002-03-06
,2002-03-07
,2002-03-08
,2002-03-09
15123.280225126906,2002-03-10
14838.524667546444,2002-03-11
14939.173859133665,2002-03-12
14835.386202450034,2002-03-13
,2002-03-14
15111.930851596115,2002-03-15
14814.892809139783,2002-03-16
15175.874779676602,2002-03-17
15011.231231231228,2002-03-18
15257.844249649994,2002-03-19
,2002-03-28
15285.165337863658,2002-03-29
,2002-03-30
15492.425422545635,2002-03-31
14883.90454298553,2002-04-01
15327.948709830614,2002-04-02
15168.204933471878,2002-04-03
15108.798347367321,2002-04-04
15265.024364300469,2002-04-05
15053.28082605705,2002-04-06
15311.485604465559,2002-04-07
14838.054499366286,2002-04-08
15163.505245166121,2002-04-09
15086.895822247923,2002-04-10
15201.261223357915,2002-04-11
15201.226013672198,2002-04-12
15052.552073676294,2002-04-13
15319.043889627903,2002-04-14
15388.551426922542,2002-04-16
15051.464266156761,2002-04-17
,2002-04-18
15142.581952101249,2002-04-19
15179.020199793806,2002-04-20
,2002-04-21
15173.70454047926,2002-04-22
14966.0,2002-04-23
14800.601756291868,2002-04-24
14954.447668204904,2002-04-25
14993.453007721313,2002-04-26
14777.873549117676,2002-04-27
15207.237240002103,2002-04-28
15034.127134463855,2002-04-29
15270.422287920983,2002-04-30
,2002-05-01
15077.391194233393,2002-05-02
15281.642587020724,2002-05-03
15206.217167594956,2002-05-04
15148.707794307065,2002-05-05
,2002-05-06
15178.793338760102,2002-05-07
,2002-05-08
,2002-05-09
,2002-05-10
15067.0,2002-05-11
,2002-05-12
,2002-05-13
15194.071604931425,2002-05-14
15353.830546301393,2002-05-15
15080.782413619936,2002-05-16
,2002-05-17
15136.779106823915,2002-05-18
15004.744786282972,2002-05-19
14997.693229604709,2002-05-20
15012.677603441114,2002-05-21
15109.350109427889,2002-05-22
14847.299727417283,2002-05-23
15004.902910204097,2002-05-24
15243.649228331757,2002-05-25
14924.862674219274,2002-05-26
15243.196112071575,2002-05-27
15129.733130197423,2002-05-28
,2002-05-29
14999.070019657524,2002-05-30
15026.24718295431,2002-05-31
15188.253725207096,2002-06-01
,2002-06-02
15238.817099051892,2002-06-03
15119.794744507488,2002-06-04
15163.117321211597,2002-06-05
15102.199014391188,2002-06-06
15053.55590325119,2002-06-07
14987.356192855168,2002-06-08
,2002-06-09
15184.568250264709,2002-06-10
,2002-06-11
15013.643019312989,2002-06-12
14944.167822026739,2002-06-13
,2002-06-14
,2002-06-15
,2002-06-16
,2002-06-17
,2002-06-18
,2002-06-19
,2002-06-20
,2002-06-21
14889.713058402676,2002-06-22
,2002-06-23
15058.032401227973,2002-06-24
,2002-06-25
,2002-06-26
15036.661283007179,2002-06-27
15047.362770649555,2002-06-28
,2002-06-29
,2002-06-30
,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
15024.776306088557,2002-07-05
15037.293364515306,2002-07-06
14619.27371956339,2002-07-07
14949.94641393328,2002-07-08
15019.160956780868,2002-07-09
15045.608870405022,2002-07-10
15020.872473876629,2002-07-11
15021.883611248384,2002-07-12
,2002-07-13
14879.948665371345,2002-07-14
15010.052464498609,2002-07-15
15033.725174755484,2002-07-16
15129.767018654178,2002-07-17
,2002-07-18
15030.274166626152,2002-07-19
,2002-07-20
15106.536360244754,2002-07-21
14939.55591944112,2002-07-22
15079.966339017057,2002-07-23
15007.02929089883,2002-07-24
14929.544650173846,2002-07-25
14824.572425531915,2002-07-26
14980.394262711534,2002-07-27
15031.945928505176,2002-07-28
14910.28411139076,2002-07-29
15164.920236201757,2002-07-30
15034.208607385157,2002-07-31
15121.014332546205,2002-08-01
15104.933623114604,2002-08-02
15081.784735812136,2002-08-03
,2002-08-04
,2002-08-05
15128.35935557116,2002-08-06
,2002-08-07
15118.754367826836,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
14974.40909090909,2002-08-13
,2002-08-14
,2002-08-15
15013.109927567108,2002-08-16
,2002-08-17
14987.501637253332,2002-08-18
15083.132235552466,2002-08-19
,2002-08-20
,2002-08-21
15127.738123318872,2002-08-22
,2002-08-23
15100.679736170452,2002-08-24
15019.12663181544,2002-08-25
,2002-08-26
,2002-08-27
,2002-08-28
,2002-08-29
,2002-08-30
15138.849929440217,2002-08-31
,2002-09-01
15122.923123980425,2002-09-02
15003.967687291664,2002-09-03
,2002-09-04
15128.196467845719,2002-09-05
,2002-09-06
,2002-09-07
15015.922685751331,2002-09-08
14877.470127766781,2002-09-09
15082.528525171374,2002-09-10
15122.089973889833,2002-09-11
15023.020660509746,2002-09-12
,2002-09-13
,2002-09-14
15398.95345849393,2002-09-15
15171.116458329081,2002-09-16
