date,LST_Day_1km
2002-02-24,
2002-02-25,15228.521983081087
2002-02-26,15037.075391591097
2002-02-27,15119.34666666667
2002-02-28,15115.26396511238
2002-03-01,15131.061521634134
2002-03-02,15107.142996324344
2002-03-03,
2002-03-04,14884.06553911205
2002-03-05,
2002-03-06,
2002-03-07,14863.515172005747
2002-03-08,
2002-03-09,
2002-03-10,
2002-03-11,14968.748566941502
2002-03-12,
2002-03-13,15210.323004781163
2002-03-14,14945.509952531009
2002-03-15,15301.253037495968
2002-03-16,15068.875565610853
2002-03-17,
2002-03-18,15229.278292637056
2002-03-19,
2002-03-28,
2002-03-29,15359.131172445319
2002-03-30,15071.345388616526
2002-03-31,15381.682381216493
2002-04-01,14878.563993174062
2002-04-02,15079.9883107089
2002-04-03,15353.829810886107
2002-04-04,15127.64221916191
2002-04-05,15510.148750202026
2002-04-06,
2002-04-07,15476.792195605847
2002-04-08,15161.127998334981
2002-04-09,15314.530694668822
2002-04-10,15191.763783122029
2002-04-11,
2002-04-12,15403.891096103893
2002-04-13,
2002-04-14,15461.714190317192
2002-04-16,15368.59643916914
2002-04-17,15110.983196064339
2002-04-18,15328.768264985834
2002-04-19,15308.056998474878
2002-04-20,15346.679532163747
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,15059.68337307609
2002-04-25,15259.123298071574
2002-04-26,15119.33488433489
2002-04-27,15189.18520358348
2002-04-28,15392.449115782447
2002-04-29,
2002-04-30,15414.742122776039
2002-05-01,15097.850060063334
2002-05-02,15341.261907430238
2002-05-03,15325.074802848168
2002-05-04,15186.34039660588
2002-05-05,15204.20037129922
2002-05-06,15283.197375205838
2002-05-07,15366.228942030537
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,15256.0
2002-05-12,
2002-05-13,15180.87494145199
2002-05-14,15313.593282173859
2002-05-15,
2002-05-16,15372.121022948962
2002-05-17,15012.94566547234
2002-05-18,15361.766055258882
2002-05-19,15172.634097752363
2002-05-20,15324.113827349121
2002-05-21,
2002-05-22,
2002-05-23,
2002-05-24,
2002-05-25,15349.124395746048
2002-05-26,15295.911590625192
2002-05-27,15330.847087232116
2002-05-28,
2002-05-29,
2002-05-30,
2002-05-31,
2002-06-01,15353.540546987924
2002-06-02,15245.961223063649
2002-06-03,15298.571874089192
2002-06-04,
2002-06-05,
2002-06-06,15414.906097884776
2002-06-07,15247.720132037968
2002-06-08,15394.599924228074
2002-06-09,
2002-06-10,15479.384497753988
2002-06-11,15155.34023979226
2002-06-12,
2002-06-13,
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,
2002-06-18,
2002-06-19,
2002-06-20,
2002-06-21,
2002-06-22,15121.579696394676
2002-06-23,14934.870100251821
2002-06-24,15174.064266629166
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,
2002-06-29,14938.386889167334
2002-06-30,
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,15156.599109865652
2002-07-09,15095.291905173348
2002-07-10,15273.842702782124
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,15347.080781658718
2002-07-15,15182.55652479484
2002-07-16,15144.744899598394
2002-07-17,15273.577150065325
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15154.585242882591
2002-07-22,14947.503598063582
2002-07-23,
2002-07-24,15102.762478994422
2002-07-25,
2002-07-26,
2002-07-27,
2002-07-28,15233.675842086197
2002-07-29,
2002-07-30,
2002-07-31,
2002-08-01,
2002-08-02,15199.305035621757
2002-08-03,
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,15015.236665953485
2002-08-08,
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15179.689629616234
2002-08-19,
2002-08-20,15278.895532679902
2002-08-21,
2002-08-22,
2002-08-23,14749.667780139689
2002-08-24,14994.403536178372
2002-08-25,
2002-08-26,
2002-08-27,15173.696126143666
2002-08-28,
2002-08-29,15088.425813669113
2002-08-30,
2002-08-31,15081.949966495422
2002-09-01,15103.598994759914
2002-09-02,
2002-09-03,15174.581526816295
2002-09-04,
2002-09-05,
2002-09-06,
2002-09-07,
2002-09-08,
2002-09-09,15233.704146760943
2002-09-10,
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,
