date,LST_Day_1km
2002-02-24,
2002-02-25,15009.198914016415
2002-02-26,14832.546893976874
2002-02-27,15039.658803794324
2002-02-28,14949.893016147935
2002-03-01,14998.413411990883
2002-03-02,
2002-03-03,
2002-03-04,15050.680383489085
2002-03-05,
2002-03-06,
2002-03-07,
2002-03-08,14790.49647252691
2002-03-09,
2002-03-10,14960.52773845777
2002-03-11,
2002-03-12,
2002-03-13,15014.303081087392
2002-03-14,14747.446055791606
2002-03-15,15113.195974974275
2002-03-16,14588.249014916968
2002-03-17,15063.449764071524
2002-03-18,14826.63902862099
2002-03-19,14839.148981411612
2002-03-28,
2002-03-29,15161.838056858684
2002-03-30,14921.794424300904
2002-03-31,15199.418576670305
2002-04-01,15039.626306796432
2002-04-02,15064.826725603054
2002-04-03,15135.976262319178
2002-04-04,14954.47319534513
2002-04-05,15179.206746694292
2002-04-06,14865.927508658962
2002-04-07,15194.86874420896
2002-04-08,14914.091042333772
2002-04-09,15078.311279384629
2002-04-10,14946.353656799916
2002-04-11,14760.0
2002-04-12,15146.787944111165
2002-04-13,
2002-04-14,15128.439597466877
2002-04-16,15146.438330899182
2002-04-17,14720.504142206612
2002-04-18,15057.42266508031
2002-04-19,15025.303212776562
2002-04-20,
2002-04-21,15068.433776253754
2002-04-22,
2002-04-23,14911.422366680094
2002-04-24,14796.070857374227
2002-04-25,14904.590947546538
2002-04-26,15092.718704149585
2002-04-27,14878.242686186219
2002-04-28,15103.619625346513
2002-04-29,
2002-04-30,15031.501399756396
2002-05-01,14801.976278704933
2002-05-02,15092.274853882038
2002-05-03,14816.006974401362
2002-05-04,14990.08534298136
2002-05-05,15072.770824959101
2002-05-06,14887.369145776407
2002-05-07,15236.529710802195
2002-05-08,
2002-05-09,15069.925073604521
2002-05-10,
2002-05-11,14845.678756476684
2002-05-12,14977.548919419567
2002-05-13,
2002-05-14,15044.480739703644
2002-05-15,
2002-05-16,15212.942623309917
2002-05-17,14941.354479758562
2002-05-18,15176.128495815532
2002-05-19,15070.056106529973
2002-05-20,15022.422571035107
2002-05-21,15083.703222110247
2002-05-22,
2002-05-23,15054.470736152445
2002-05-24,
2002-05-25,
2002-05-26,
2002-05-27,15117.833539532643
2002-05-28,15057.942912260645
2002-05-29,
2002-05-30,15029.606239889075
2002-05-31,
2002-06-01,15067.471248504247
2002-06-02,
2002-06-03,15026.35472180139
2002-06-04,14995.489011761962
2002-06-05,15094.560007068898
2002-06-06,15158.526615977393
2002-06-07,15236.35087578015
