LST_Day_1km,date
14989.677207163028,2002-02-24
15057.306524057632,2002-02-25
,2002-02-26
15285.01628645342,2002-02-27
15085.098958282564,2002-02-28
15274.600653129968,2002-03-01
14893.700036297907,2002-03-02
15160.071002492667,2002-03-03
14772.727019945458,2002-03-04
,2002-03-05
15135.157294816885,2002-03-06
15031.322327692942,2002-03-07
,2002-03-08
,2002-03-09
15405.90797398897,2002-03-10
14902.952889752309,2002-03-11
,2002-03-12
15048.386194611445,2002-03-13
,2002-03-14
15164.743674051093,2002-03-15
15021.2601908493,2002-03-16
,2002-03-17
15101.651985660405,2002-03-18
15538.105822850468,2002-03-19
,2002-03-28
15280.377663619249,2002-03-29
,2002-03-30
15410.062228531477,2002-03-31
14982.07300740636,2002-04-01
15305.019079086529,2002-04-02
15276.571216893148,2002-04-03
15313.799176019318,2002-04-04
15193.484684906452,2002-04-05
,2002-04-06
15376.310959929255,2002-04-07
,2002-04-08
15133.659509966777,2002-04-09
15106.511765060244,2002-04-10
15232.196347765635,2002-04-11
15238.153096732707,2002-04-12
15233.416180745913,2002-04-13
15345.27568699416,2002-04-14
15372.022194674963,2002-04-16
15170.472132932664,2002-04-17
,2002-04-18
15197.16848946335,2002-04-19
15123.728210585567,2002-04-20
,2002-04-21
,2002-04-22
,2002-04-23
,2002-04-24
15143.312196392902,2002-04-25
14959.399981264047,2002-04-26
14976.753106472835,2002-04-27
15251.518280385057,2002-04-28
15233.410936507566,2002-04-29
15311.234125290734,2002-04-30
,2002-05-01
15467.199082461579,2002-05-02
,2002-05-03
15144.87220610256,2002-05-04
15130.507227366501,2002-05-05
,2002-05-06
15373.76070018145,2002-05-07
,2002-05-08
,2002-05-09
,2002-05-10
15183.580287929124,2002-05-11
,2002-05-12
,2002-05-13
15161.909426034656,2002-05-14
15259.70567265643,2002-05-15
15191.751123846043,2002-05-16
,2002-05-17
15194.497193122126,2002-05-18
,2002-05-19
15113.40909090909,2002-05-20
14907.672088306426,2002-05-21
15078.232778698395,2002-05-22
14992.069498069499,2002-05-23
15185.9012345679,2002-05-24
15163.573307147644,2002-05-25
14923.038183007076,2002-05-26
15221.19092127348,2002-05-27
15244.036324635224,2002-05-28
,2002-05-29
14986.618166359644,2002-05-30
14933.316530347618,2002-05-31
15196.290100860297,2002-06-01
,2002-06-02
15204.222283465619,2002-06-03
15102.857393501017,2002-06-04
15048.397559404086,2002-06-05
15110.427916255307,2002-06-06
15062.348396665962,2002-06-07
15020.567111404198,2002-06-08
,2002-06-09
15168.415376871777,2002-06-10
,2002-06-11
15117.308875434017,2002-06-12
14898.103889538374,2002-06-13
,2002-06-14
14821.864864864865,2002-06-15
,2002-06-16
,2002-06-17
,2002-06-18
,2002-06-19
14847.760122699387,2002-06-20
,2002-06-21
14882.0,2002-06-22
,2002-06-23
15052.304854880274,2002-06-24
,2002-06-25
,2002-06-26
14776.809377144813,2002-06-27
,2002-06-28
,2002-06-29
,2002-06-30
,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
14954.27601038404,2002-07-05
15080.890918557076,2002-07-06
14716.356179420858,2002-07-07
14923.649797672633,2002-07-08
15001.761994335138,2002-07-09
14976.052000465721,2002-07-10
15163.542015400064,2002-07-11
14968.43019345008,2002-07-12
,2002-07-13
14951.767251992278,2002-07-14
15107.375417178295,2002-07-15
15145.952470990464,2002-07-16
15122.010802855342,2002-07-17
,2002-07-18
15069.76238371309,2002-07-19
,2002-07-20
15166.938724950447,2002-07-21
