date,LST_Day_1km
2002-02-24,
2002-02-25,14924.174389102005
2002-02-26,
2002-02-27,14936.0621978479
2002-02-28,14846.719650230913
2002-03-01,14933.548486753245
2002-03-02,14869.033112403773
2002-03-03,
2002-03-04,14792.993796168046
2002-03-05,
2002-03-06,
2002-03-07,
2002-03-08,14844.746738192323
2002-03-09,
2002-03-10,
2002-03-11,
2002-03-12,14740.429039615163
2002-03-13,14800.51103100843
2002-03-14,
2002-03-15,15058.687813658262
2002-03-16,14864.25870822102
2002-03-17,15026.604441360167
2002-03-18,14873.427388601891
2002-03-19,14850.970250521921
2002-03-28,
2002-03-29,15115.054980859693
2002-03-30,
2002-03-31,15163.263089265916
2002-04-01,
2002-04-02,14896.348811498068
2002-04-03,15019.004377526238
2002-04-04,15037.222201759223
2002-04-05,15076.469711034762
2002-04-06,
2002-04-07,15148.37248731575
2002-04-08,14878.551950101919
2002-04-09,14929.556108291034
2002-04-10,14889.156815576314
2002-04-11,14876.118559755278
2002-04-12,
2002-04-13,14971.223735551803
2002-04-14,
2002-04-16,14984.55019436215
2002-04-17,14792.956849241367
2002-04-18,15042.38834835908
2002-04-19,14701.951675257735
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,14617.176779922856
2002-04-25,15100.06257001464
2002-04-26,14769.679626784087
2002-04-27,14899.683358524057
2002-04-28,14943.453795629985
2002-04-29,14783.962562471605
2002-04-30,15090.719778228598
2002-05-01,
2002-05-02,14696.3
2002-05-03,14769.720720258556
2002-05-04,14968.256476742108
2002-05-05,14908.06103824082
2002-05-06,14925.047133444612
2002-05-07,15018.874943870684
2002-05-08,
2002-05-09,14874.167370698542
2002-05-10,
2002-05-11,14957.109523705505
2002-05-12,
2002-05-13,15076.963811856227
2002-05-14,
2002-05-15,14852.297293027661
2002-05-16,15118.836140704052
2002-05-17,
2002-05-18,15144.9563211068
2002-05-19,14869.770498445085
2002-05-20,15001.746611022441
2002-05-21,14892.814306190847
2002-05-22,14820.799829362737
2002-05-23,
2002-05-24,
2002-05-25,15108.316394095455
2002-05-26,14914.399387765689
2002-05-27,14800.610623526329
2002-05-28,
2002-05-29,
2002-05-30,
2002-05-31,14723.52394499763
2002-06-01,15074.835050854124
2002-06-02,
2002-06-03,15074.979810522696
2002-06-04,14837.159859393683
2002-06-05,
2002-06-06,14954.083622858512
2002-06-07,15031.292526609846
2002-06-08,15057.934961792274
2002-06-09,
2002-06-10,15181.65020760056
2002-06-11,14722.394934148871
2002-06-12,
2002-06-13,14901.77009970873
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,
2002-06-18,
2002-06-19,14994.7287403792
2002-06-20,14621.248557320485
2002-06-21,14827.116806017753
2002-06-22,14994.820601704194
2002-06-23,14800.082800340591
2002-06-24,
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,
2002-06-29,15017.975447570334
2002-06-30,
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,15047.539016081751
2002-07-07,14869.99233513942
2002-07-08,15003.008273331303
2002-07-09,14981.005013984955
2002-07-10,15048.84309116375
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,
2002-07-15,14957.26711624469
2002-07-16,15012.977544415111
2002-07-17,15024.645132652713
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15019.611485032288
2002-07-22,14897.601412609152
2002-07-23,14975.97326957856
2002-07-24,14998.25745887987
2002-07-25,
2002-07-26,15014.691993154425
2002-07-27,
2002-07-28,15095.405290268409
2002-07-29,
2002-07-30,15062.363548579067
2002-07-31,
2002-08-01,
2002-08-02,14907.098809225721
2002-08-03,14831.963481800765
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,14874.340788516025
2002-08-08,14705.252063619891
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,15079.630214470892
2002-08-18,14991.005740688888
2002-08-19,15247.459290873274
2002-08-20,14998.98653539887
2002-08-21,
2002-08-22,15085.755168257678
2002-08-23,14851.529392368428
2002-08-24,14925.257306590258
2002-08-25,14954.603594663142
2002-08-26,
2002-08-27,15032.036163854256
2002-08-28,
2002-08-29,
2002-08-30,
2002-08-31,14843.551267916208
2002-09-01,14964.835333881063
2002-09-02,14794.582047797936
2002-09-03,14915.894716600165
2002-09-04,14789.42857142857
2002-09-05,14796.207251406004
2002-09-06,
2002-09-07,
2002-09-08,
2002-09-09,14958.228561474969
2002-09-10,14932.105583117882
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-21,
2002-09-22,
2002-09-23,15107.260477228694
2002-09-24,14813.401210980048
2002-09-25,15080.80216485512
2002-09-26,14958.639514955545
2002-09-27,14990.904676748718
2002-09-28,15073.432141205083
2002-09-29,
2002-09-30,15086.988473376416
2002-10-01,
2002-10-02,15080.948762894901
2002-10-03,14826.878614951607
2002-10-04,14822.931513378833
2002-10-05,14936.795213660831
2002-10-06,14896.837329224203
2002-10-07,15064.169334312188
2002-10-08,
2002-10-09,15103.246561409042
2002-10-10,14774.472495031549
2002-10-11,15025.754368337106
2002-10-12,14978.01240918908
2002-10-13,
2002-10-14,14978.710151450547
2002-10-15,
2002-10-16,14920.972047716527
2002-10-17,14928.489725416513
2002-10-18,15021.40521045924
2002-10-19,14835.546680355192
2002-10-20,
2002-10-21,14763.516965341585
2002-10-22,
2002-10-23,
2002-10-24,
2002-10-25,15052.35825689557
2002-10-26,14597.724014336922
2002-10-27,
2002-10-28,
2002-10-29,14651.672822224618
2002-10-30,14962.762872592344
2002-10-31,
2002-11-01,15065.952615495615
2002-11-02,
2002-11-03,15056.439832538208
2002-11-04,
2002-11-05,
2002-11-06,
2002-11-07,
2002-11-08,15049.018259439536
2002-11-09,
2002-11-10,
2002-11-11,14796.581923146909
2002-11-12,14900.070518907443
2002-11-13,14924.617511064964
2002-11-14,14959.253526526974
2002-11-15,15045.184146043404
2002-11-16,
2002-11-17,14989.180524628337
2002-11-18,
2002-11-19,
2002-11-20,14945.45858881669
2002-11-21,14838.724590464224
2002-11-22,14658.099782785777
2002-11-23,
2002-11-24,14929.812588253466
2002-11-25,
2002-11-26,14556.22597299444
2002-11-27,
2002-11-28,14844.985730813727
2002-11-29,
2002-11-30,
2002-12-01,
2002-12-02,
2002-12-03,14831.06755837679
2002-12-04,
2002-12-05,15006.074754052936
2002-12-06,14924.006365868923
2002-12-07,14980.230455701523
2002-12-08,14976.242107644433
2002-12-09,14792.823514000329
2002-12-10,14988.2229204909
2002-12-11,
2002-12-12,14919.52798849686
2002-12-13,14724.972108843533
2002-12-14,14970.019603132647
2002-12-15,
2002-12-16,14787.079702627938
2002-12-17,14959.625777978958
2002-12-18,
2002-12-19,14978.643443188768
2002-12-20,14790.499748734017
2002-12-21,14884.552559664788
2002-12-22,14888.783873217504
2002-12-23,
2002-12-24,
2002-12-25,
2002-12-26,14928.280412201353
2002-12-27,
2002-12-28,15004.157486690063
2002-12-29,
2002-12-30,14775.669776119405
2002-12-31,14901.234146954082
2003-01-01,
