LST_Day_1km,date
15019.420300087315,2002-02-24
15053.326079200857,2002-02-25
,2002-02-26
15210.562560811779,2002-02-27
15016.677765683575,2002-02-28
15133.584253979734,2002-03-01
14954.410581691522,2002-03-02
15133.844509758075,2002-03-03
15019.39212147403,2002-03-04
,2002-03-05
15042.62688785715,2002-03-06
15009.831600666617,2002-03-07
,2002-03-08
,2002-03-09
15249.516548944377,2002-03-10
14950.08844177009,2002-03-11
,2002-03-12
15134.056720079738,2002-03-13
,2002-03-14
15115.51487457733,2002-03-15
15017.578397342171,2002-03-16
,2002-03-17
14962.09551197561,2002-03-18
15200.95584438318,2002-03-19
,2002-03-28
15208.54665774401,2002-03-29
,2002-03-30
15266.743895381422,2002-03-31
15079.989022803604,2002-04-01
15252.682020895818,2002-04-02
15187.632404016325,2002-04-03
15083.813628878375,2002-04-04
15200.938952680748,2002-04-05
,2002-04-06
15208.514817818232,2002-04-07
14875.120698433615,2002-04-08
15162.218345478635,2002-04-09
15068.467047348333,2002-04-10
15092.017132849449,2002-04-11
15170.976529495645,2002-04-12
15043.983400622143,2002-04-13
15258.891246297275,2002-04-14
15282.967135278466,2002-04-16
14994.902841346619,2002-04-17
,2002-04-18
15103.38265938461,2002-04-19
15079.92909078047,2002-04-20
14987.974683544304,2002-04-21
,2002-04-22
,2002-04-23
14873.465581603701,2002-04-24
14939.184589744851,2002-04-25
14877.862405188022,2002-04-26
15097.149124077025,2002-04-27
15183.491399170334,2002-04-28
15047.183386064064,2002-04-29
15269.228757469156,2002-04-30
,2002-05-01
15068.297381183313,2002-05-02
14935.469833536337,2002-05-03
14996.059008369084,2002-05-04
15054.144776744663,2002-05-05
,2002-05-06
,2002-05-07
,2002-05-08
15291.62962962963,2002-05-09
,2002-05-10
15111.59325120733,2002-05-11
14749.735294117647,2002-05-12
,2002-05-13
15092.062766335734,2002-05-14
15275.241199992115,2002-05-15
15179.830578833013,2002-05-16
,2002-05-17
15154.490551816969,2002-05-18
14930.126017044982,2002-05-19
14954.32704607274,2002-05-20
14952.693355039217,2002-05-21
15045.075287024612,2002-05-22
,2002-05-23
,2002-05-24
15084.931270038482,2002-05-25
14948.625079653535,2002-05-26
15125.341098530134,2002-05-27
15151.486732175716,2002-05-28
,2002-05-29
14926.961687623741,2002-05-30
14974.664963759187,2002-05-31
15149.900243308992,2002-06-01
,2002-06-02
15113.491578808671,2002-06-03
15068.74862578568,2002-06-04
15006.653355864104,2002-06-05
15076.50918208225,2002-06-06
15053.69410452154,2002-06-07
15054.545299682599,2002-06-08
,2002-06-09
15117.795160079346,2002-06-10
14870.028796893077,2002-06-11
,2002-06-12
14923.17876713805,2002-06-13
,2002-06-14
15011.562600464371,2002-06-15
14991.0,2002-06-16
14843.9344883595,2002-06-17
,2002-06-18
,2002-06-19
14869.54700694314,2002-06-20
,2002-06-21
14763.019152552308,2002-06-22
,2002-06-23
14999.333294235925,2002-06-24
,2002-06-25
,2002-06-26
15019.226705113166,2002-06-27
15204.15875265769,2002-06-28
,2002-06-29
,2002-06-30
,2002-07-01
15192.531965006729,2002-07-02
,2002-07-03
,2002-07-04
14959.863237193278,2002-07-05
15023.539728444688,2002-07-06
14947.380534183654,2002-07-07
14864.248773856207,2002-07-08
15001.03036999924,2002-07-09
14900.927332984968,2002-07-10
,2002-07-11
15068.985400735392,2002-07-12
,2002-07-13
15096.01169324842,2002-07-14
15029.279462211261,2002-07-15
15026.849477048227,2002-07-16
15083.468792132346,2002-07-17
,2002-07-18
14976.91748748347,2002-07-19
,2002-07-20
15111.385459182171,2002-07-21
14955.566064900104,2002-07-22
14722.13199005858,2002-07-23
14913.85565796163,2002-07-24
14809.628209882465,2002-07-25
,2002-07-26
,2002-07-27
15154.771909232433,2002-07-28
14885.161878767809,2002-07-29
14999.710964566459,2002-07-30
15163.349475365954,2002-07-31
15019.76585390709,2002-08-01
15093.263290614985,2002-08-02
14955.822542375778,2002-08-03
,2002-08-04
,2002-08-05
15075.924481002496,2002-08-06
14992.705913921916,2002-08-07
15116.380437858554,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
15105.058315334778,2002-08-13
15314.906776541797,2002-08-14
15158.0,2002-08-15
14906.629157803138,2002-08-16
,2002-08-17
14859.570558544197,2002-08-18
14954.585948169148,2002-08-19
,2002-08-20
,2002-08-21
15135.370153967944,2002-08-22
15006.722083397071,2002-08-23
14867.10309048476,2002-08-24
15002.016635190337,2002-08-25
,2002-08-26
14938.280626908569,2002-08-27
,2002-08-28
,2002-08-29
,2002-08-30
14938.89355093743,2002-08-31
,2002-09-01
15006.557692307691,2002-09-02
15123.41221222358,2002-09-03
15275.27729581041,2002-09-04
15010.124294354206,2002-09-05
,2002-09-06
15192.60677077903,2002-09-07
14997.87862806118,2002-09-08
,2002-09-09
15018.414276429625,2002-09-10
14996.502561272182,2002-09-11
15011.051697303368,2002-09-12
,2002-09-13
,2002-09-14
15346.09134354122,2002-09-15
15037.495237159968,2002-09-16
,2002-09-17
,2002-09-18
14895.39956944353,2002-09-19
,2002-09-20
,2002-09-21
,2002-09-22
15088.47441087927,2002-09-23
15181.321784518144,2002-09-24
15144.401427149864,2002-09-25
15094.903359666474,2002-09-26
15024.918695350267,2002-09-27
15068.818556819571,2002-09-28
,2002-09-29
,2002-09-30
,2002-10-01
14868.0,2002-10-02
15046.426377798009,2002-10-03
15012.85330822955,2002-10-04
14887.928017192631,2002-10-05
14994.913487306081,2002-10-06
15166.370796444538,2002-10-07
,2002-10-08
15077.180586660841,2002-10-09
15025.11685433291,2002-10-10
15139.803136301187,2002-10-11
15002.461245172155,2002-10-12
15094.129080246857,2002-10-13
15132.678976824634,2002-10-14
,2002-10-15
15141.913948883788,2002-10-16
15046.660914444406,2002-10-17
15104.428371749855,2002-10-18
15023.034320583207,2002-10-19
,2002-10-20
,2002-10-21
,2002-10-22
15041.884790951775,2002-10-23
,2002-10-24
15164.411562525918,2002-10-25
15101.890951105548,2002-10-26
15107.787260602472,2002-10-27
15024.823625706851,2002-10-28
15097.370974831907,2002-10-29
15150.309246309223,2002-10-30
,2002-10-31
15066.919345639324,2002-11-01
14914.401894767336,2002-11-02
15142.20691575195,2002-11-03
14954.279854843107,2002-11-04
14926.318400818525,2002-11-05
15105.597815867346,2002-11-06
,2002-11-07
15042.946033388085,2002-11-08
,2002-11-09
15001.173251338321,2002-11-10
14862.485057786073,2002-11-11
15038.203373838924,2002-11-12
15104.952183412646,2002-11-13
15019.475442991497,2002-11-14
15087.544511610196,2002-11-15
,2002-11-16
15002.546216243283,2002-11-17
15000.74031561434,2002-11-18
15099.16051227407,2002-11-19
15022.125146440332,2002-11-20
,2002-11-21
14884.396161598957,2002-11-22
,2002-11-23
15107.273620921707,2002-11-24
,2002-11-25
15033.652770103507,2002-11-26
15049.328849010539,2002-11-27
14920.51291291291,2002-11-28
,2002-11-29
,2002-11-30
15203.953349014337,2002-12-01
,2002-12-02
15097.665776026382,2002-12-03
14899.505200395171,2002-12-04
15108.08731496083,2002-12-05
14998.928528081182,2002-12-06
15110.105281333319,2002-12-07
15043.291959968023,2002-12-08
14998.479031626273,2002-12-09
15093.663940117991,2002-12-10
,2002-12-11
15071.457264304274,2002-12-12
14994.216123193795,2002-12-13
15155.476503261138,2002-12-14
14994.71900396505,2002-12-15
15075.20008261452,2002-12-16
15046.789697343667,2002-12-17
,2002-12-18
15139.80060767084,2002-12-19
14892.402219375039,2002-12-20
14911.237319884729,2002-12-21
14960.8204446974,2002-12-22
15090.32897157019,2002-12-23
,2002-12-24
15040.799022730362,2002-12-25
14836.338323496951,2002-12-26
,2002-12-27
15073.671269499007,2002-12-28
15149.807560333977,2002-12-29
15183.832156039201,2002-12-30
14895.697837281155,2002-12-31
