LST_Day_1km,date
14826.565337346376,2002-02-24
,2002-02-25
14980.154538880217,2002-02-26
15158.219497413314,2002-02-27
15054.60407302866,2002-02-28
14989.24349137442,2002-03-01
15077.000266732568,2002-03-02
,2002-03-03
14986.27848799779,2002-03-04
14885.554782268558,2002-03-05
14952.601749856032,2002-03-06
14918.124064279455,2002-03-07
14834.061504824376,2002-03-08
14868.666666666666,2002-03-09
15004.739347070928,2002-03-10
15209.619364456641,2002-03-11
14739.511550587556,2002-03-12
15159.547169426949,2002-03-13
14927.03296985501,2002-03-14
15081.417726272868,2002-03-15
14932.774691326504,2002-03-16
15114.928505329945,2002-03-17
15193.912844546121,2002-03-18
,2002-03-19
,2002-03-28
15228.823389172008,2002-03-29
15125.603539029747,2002-03-30
15141.946637714942,2002-03-31
15106.908193404812,2002-04-01
15061.143380855392,2002-04-02
15155.016770199503,2002-04-03
,2002-04-04
15227.883358666946,2002-04-05
,2002-04-06
15202.818423116349,2002-04-07
15029.02177946872,2002-04-08
15061.337273457115,2002-04-09
15181.74329501916,2002-04-10
14903.147596253903,2002-04-11
15196.714823882476,2002-04-12
14809.826823733887,2002-04-13
15181.074634599583,2002-04-14
,2002-04-16
14976.020857832522,2002-04-17
14997.59605901374,2002-04-18
15044.748074528914,2002-04-19
,2002-04-20
15151.26815847394,2002-04-21
14832.918574040956,2002-04-22
15060.130001470236,2002-04-23
15012.8199757062,2002-04-24
15015.257382189155,2002-04-25
15037.672584369313,2002-04-26
,2002-04-27
15149.567056940832,2002-04-28
,2002-04-29
15213.814032700273,2002-04-30
14729.847994907703,2002-05-01
15048.20222412318,2002-05-02
15052.683069036566,2002-05-03
,2002-05-04
15001.966548157729,2002-05-05
,2002-05-06
,2002-05-07
,2002-05-08
14505.287476280835,2002-05-09
,2002-05-10
14920.5623056685,2002-05-11
15034.275779936497,2002-05-12
14856.247659338374,2002-05-13
15140.4997030532,2002-05-14
14976.0,2002-05-15
15179.403543063434,2002-05-16
14982.699927396092,2002-05-17
15054.284184309994,2002-05-18
15099.302686020354,2002-05-19
15033.787116202671,2002-05-20
15097.968826550034,2002-05-21
,2002-05-22
15023.985967503691,2002-05-23
14811.060213506056,2002-05-24
15150.101617953685,2002-05-25
15036.080442714572,2002-05-26
15010.44128001577,2002-05-27
15111.304569336926,2002-05-28
,2002-05-29
15020.02657175078,2002-05-30
,2002-05-31
15156.746972147574,2002-06-01
14898.566363127638,2002-06-02
15014.003814919126,2002-06-03
15011.42510246428,2002-06-04
14760.0,2002-06-05
15114.825366539853,2002-06-06
,2002-06-07
15218.42138668155,2002-06-08
14990.849049244269,2002-06-09
15047.836585709143,2002-06-10
14960.883966101688,2002-06-11
,2002-06-12
,2002-06-13
,2002-06-14
,2002-06-15
,2002-06-16
15006.750754420069,2002-06-17
14920.669823698227,2002-06-18
14819.869617732513,2002-06-19
,2002-06-20
,2002-06-21
15040.62347439583,2002-06-22
,2002-06-23
15037.245806648367,2002-06-24
,2002-06-25
14760.029234251224,2002-06-26
15005.089702679023,2002-06-27
14750.277356624918,2002-06-28
14881.25592735833,2002-06-29
,2002-06-30
14926.905731625082,2002-07-01
,2002-07-02
14935.076973001042,2002-07-03
,2002-07-04
14921.029231515367,2002-07-05
14947.042553903852,2002-07-06
,2002-07-07
15041.55154089078,2002-07-08
,2002-07-09
15125.556427735073,2002-07-10
14763.512202656779,2002-07-11
,2002-07-12
,2002-07-13
14979.303033804303,2002-07-14
14816.194327706975,2002-07-15
14890.933486314529,2002-07-16
14977.306462585024,2002-07-17
,2002-07-18
14956.055528081952,2002-07-19
14921.00864923306,2002-07-20
15029.965605860336,2002-07-21
15043.372594051154,2002-07-22
14837.605355732645,2002-07-23
14944.25760388652,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
15071.43788045624,2002-07-28
14949.010723122325,2002-07-29
15001.17014107797,2002-07-30
15087.841864936301,2002-07-31
,2002-08-01
15155.838913295953,2002-08-02
14839.888934092756,2002-08-03
14950.210755877346,2002-08-04
15082.300722258704,2002-08-05
15023.63677402224,2002-08-06
15102.04764337496,2002-08-07
15053.345923966059,2002-08-08
15005.978810208482,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
,2002-08-13
15000.111156146742,2002-08-14
14820.903546894717,2002-08-15
15093.525611851579,2002-08-16
,2002-08-17
15121.16508811762,2002-08-18
14871.46868155935,2002-08-19
15085.853774165746,2002-08-20
,2002-08-21
15104.333055484942,2002-08-22
15073.399797985856,2002-08-23
14880.95994641661,2002-08-24
14989.199472029952,2002-08-25
,2002-08-26
,2002-08-27
,2002-08-28
14918.69621565578,2002-08-29
,2002-08-30
,2002-08-31
,2002-09-01
,2002-09-02
15132.965071521465,2002-09-03
14859.0,2002-09-04
15140.772558089264,2002-09-05
14623.248157248154,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
15203.27460815047,2002-09-10
,2002-09-11
15156.591580610782,2002-09-12
15178.89065558597,2002-09-13
,2002-09-14
14828.0,2002-09-15
15142.114055037531,2002-09-16
14939.886152726387,2002-09-17
15355.645632739182,2002-09-18
14693.61933007676,2002-09-19
,2002-09-20
15105.669877990813,2002-09-21
14940.787260006513,2002-09-22
15058.852359568255,2002-09-23
14992.399270220707,2002-09-24
,2002-09-25
15126.194699351046,2002-09-26
,2002-09-27
15211.756348408282,2002-09-28
15187.101414297429,2002-09-29
,2002-09-30
,2002-10-01
14946.779257995353,2002-10-02
15053.072445816155,2002-10-03
15277.702693266836,2002-10-04
15105.158563381414,2002-10-05
,2002-10-06
