date,LST_Day_1km
2002-02-24,
2002-02-25,14950.94443456983
2002-02-26,
2002-02-27,14990.687428600566
2002-02-28,14812.942295184817
2002-03-01,15001.73694486474
2002-03-02,14796.359440606864
2002-03-03,
2002-03-04,
2002-03-05,
2002-03-06,14659.930811808117
2002-03-07,
2002-03-08,14873.442272208687
2002-03-09,
2002-03-10,
2002-03-11,
2002-03-12,14948.138483845938
2002-03-13,14841.438955302709
2002-03-14,
2002-03-15,14978.899266842349
2002-03-16,14885.054538406732
2002-03-17,14935.93701469116
2002-03-18,14858.329193633028
2002-03-19,
2002-03-28,
2002-03-29,14986.284808550576
2002-03-30,
2002-03-31,15003.907836028997
2002-04-01,14536.50407450524
2002-04-02,15083.051383611051
2002-04-03,15025.829196816203
2002-04-04,15000.488200900025
2002-04-05,15069.684825570084
2002-04-06,14879.071874012127
2002-04-07,15177.208180567115
2002-04-08,14939.268418198515
2002-04-09,15101.042363242135
2002-04-10,14902.115046949044
2002-04-11,15025.640930983775
2002-04-12,14797.0
2002-04-13,14772.631727447726
2002-04-14,15042.299134795741
2002-04-16,15020.824076000281
2002-04-17,14738.52563573883
2002-04-18,15079.300888698497
2002-04-19,
2002-04-20,
2002-04-21,
2002-04-22,
2002-04-23,
2002-04-24,14790.229048633844
2002-04-25,15047.14719380583
2002-04-26,14809.100374467354
2002-04-27,14953.43271185294
2002-04-28,14943.097434808928
2002-04-29,14896.2125395313
2002-04-30,15044.827519522529
2002-05-01,
2002-05-02,
2002-05-03,14811.10524122742
2002-05-04,14997.292772400471
2002-05-05,14920.210433569906
2002-05-06,14856.121462503097
2002-05-07,14955.288694281464
2002-05-08,
2002-05-09,14957.481640146876
2002-05-10,
2002-05-11,15068.129458416915
2002-05-12,
2002-05-13,15118.868171867829
2002-05-14,14720.27120418848
2002-05-15,14914.89006823351
2002-05-16,15122.22863261361
2002-05-17,
2002-05-18,15190.06053730816
2002-05-19,14959.432751325134
2002-05-20,15100.5842743694
2002-05-21,15009.661582253555
2002-05-22,15032.434098578366
2002-05-23,
2002-05-24,
2002-05-25,15172.079406735382
2002-05-26,14972.35117032034
2002-05-27,15018.378261328828
2002-05-28,15019.485540362572
2002-05-29,
2002-05-30,
2002-05-31,14976.58299761822
2002-06-01,15128.518976771848
2002-06-02,
2002-06-03,15010.7123655914
2002-06-04,14925.152106885918
2002-06-05,14862.164925783398
2002-06-06,15015.595065607307
2002-06-07,15038.78943366957
2002-06-08,15119.105051195997
2002-06-09,15562.740283522648
2002-06-10,15188.733070044487
2002-06-11,14991.558590263867
2002-06-12,
2002-06-13,14980.024357305676
2002-06-14,
2002-06-15,
2002-06-16,
2002-06-17,14950.196958408207
2002-06-18,
2002-06-19,15033.178928787267
2002-06-20,15047.596433045908
2002-06-21,15023.68821681154
2002-06-22,14969.035603152515
2002-06-23,14828.13121226196
2002-06-24,
2002-06-25,
2002-06-26,
2002-06-27,
2002-06-28,
2002-06-29,
2002-06-30,
2002-07-01,
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,
2002-07-07,
2002-07-08,15152.619795512466
2002-07-09,15168.181800185623
2002-07-10,15191.699076674544
2002-07-11,15434.439477601192
2002-07-12,
2002-07-13,
2002-07-14,15228.792039693666
2002-07-15,15008.833612416673
2002-07-16,15078.56594573119
2002-07-17,
2002-07-18,
2002-07-19,
2002-07-20,
2002-07-21,15190.916294843275
2002-07-22,15153.686654706471
2002-07-23,15099.935892260693
2002-07-24,15073.043613148435
2002-07-25,
2002-07-26,
2002-07-27,15044.244219784203
2002-07-28,15122.447592067985
2002-07-29,
2002-07-30,15168.941478845396
2002-07-31,
2002-08-01,15052.12104109548
2002-08-02,15101.459628490275
2002-08-03,15102.68781406543
2002-08-04,
2002-08-05,
2002-08-06,
2002-08-07,14962.909172694452
2002-08-08,15078.61033498366
2002-08-09,
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,15118.706159225392
2002-08-14,
2002-08-15,
2002-08-16,14921.187891309797
2002-08-17,15240.397171581235
2002-08-18,15119.895956122473
2002-08-19,15256.6773528848
2002-08-20,
2002-08-21,
2002-08-22,15099.469972212788
2002-08-23,14923.038223298503
2002-08-24,15121.809172305702
2002-08-25,14977.71421650496
2002-08-26,
2002-08-27,
2002-08-28,
2002-08-29,15033.723447599798
2002-08-30,
2002-08-31,15061.540366262574
2002-09-01,15053.47224712101
2002-09-02,
2002-09-03,14979.784946188496
2002-09-04,
2002-09-05,15057.362081653724
2002-09-06,
2002-09-07,15210.023007159225
2002-09-08,
2002-09-09,15090.669890555007
2002-09-10,15084.495359809905
2002-09-11,
2002-09-12,
2002-09-13,
2002-09-14,
2002-09-15,
2002-09-16,14905.436197132178
2002-09-17,
2002-09-18,
2002-09-19,
2002-09-20,
2002-09-21,15088.25448688449
2002-09-22,
2002-09-23,15149.952236259513
2002-09-24,14951.035046946172
2002-09-25,15119.434084470848
2002-09-26,
2002-09-27,15040.81631310483
2002-09-28,15136.393497486346
2002-09-29,
2002-09-30,15001.210992148463
2002-10-01,
2002-10-02,15086.463910881974
2002-10-03,15028.982170310888
2002-10-04,15024.764974488808
2002-10-05,15024.446317284745
2002-10-06,15164.866707533038
2002-10-07,15127.598101273166
2002-10-08,
2002-10-09,15193.443629357207
2002-10-10,14860.204587247987
2002-10-11,15099.736850268866
2002-10-12,14976.515364142271
2002-10-13,
2002-10-14,15064.373436149004
2002-10-15,
2002-10-16,15060.477257725472
2002-10-17,14922.730354835981
2002-10-18,15050.721848877232
2002-10-19,14994.540013646547
2002-10-20,
2002-10-21,14941.314591924816
2002-10-22,
2002-10-23,
2002-10-24,
2002-10-25,15082.182880154973
2002-10-26,14870.703520086643
2002-10-27,
2002-10-28,14945.379221565958
2002-10-29,
2002-10-30,15010.50266866742
2002-10-31,
2002-11-01,15004.465199494838
2002-11-02,14711.974877898165
2002-11-03,15095.993842463446
2002-11-04,14812.966617882774
2002-11-05,
2002-11-06,
2002-11-07,
2002-11-08,15006.34901375234
2002-11-09,
2002-11-10,
2002-11-11,
2002-11-12,
2002-11-13,14887.230542087133
2002-11-14,14951.236401019287
2002-11-15,15044.03555966468
2002-11-16,
2002-11-17,14981.866140203787
2002-11-18,
2002-11-19,
2002-11-20,
2002-11-21,14694.401656741938
2002-11-22,14754.753916449088
2002-11-23,
2002-11-24,14925.847839326809
2002-11-25,
2002-11-26,14942.449065324017
2002-11-27,14776.896294493281
2002-11-28,14658.4375
2002-11-29,
2002-11-30,
2002-12-01,14872.85603266596
2002-12-02,
2002-12-03,14882.314597522876
2002-12-04,
2002-12-05,15025.149104201979
2002-12-06,14895.104374842545
2002-12-07,14917.135745504052
2002-12-08,14959.158726594567
2002-12-09,14897.549976026256
2002-12-10,15004.043896589765
2002-12-11,
2002-12-12,14826.497662266225
2002-12-13,14938.343171103474
2002-12-14,
2002-12-15,14810.046229464639
2002-12-16,14825.681369026232
2002-12-17,14927.347052065368
2002-12-18,
2002-12-19,14995.793134247986
2002-12-20,14734.234986126194
2002-12-21,14846.351269664952
2002-12-22,14846.81925836213
2002-12-23,
2002-12-24,14589.730662983426
2002-12-25,
2002-12-26,14827.414766774758
2002-12-27,
2002-12-28,14953.360330090325
2002-12-29,
2002-12-30,14839.525702891322
2002-12-31,14740.53589534749
2003-01-01,
2003-01-02,15000.90795480622
2003-01-03,
2003-01-04,
2003-01-05,14646.583161613187
2003-01-06,
2003-01-07,
2003-01-08,
2003-01-09,14647.986818181816
2003-01-10,14552.980633513867
2003-01-11,14910.376393875404
2003-01-12,
2003-01-13,15004.679143714779
2003-01-14,14875.376875171252
2003-01-15,14887.874579896128
2003-01-16,14813.866918961989
2003-01-17,14827.72549556367
2003-01-18,14747.297788309634
2003-01-19,
2003-01-20,
2003-01-21,
2003-01-22,14951.827797157099
2003-01-23,
2003-01-24,14855.422644349987
2003-01-25,
2003-01-26,
2003-01-27,14834.230798757091
2003-01-28,
2003-01-29,14927.118463205792
2003-01-30,
2003-01-31,
2003-02-01,
2003-02-02,
2003-02-03,14757.411043548565
2003-02-04,
2003-02-05,
2003-02-06,
2003-02-07,14851.768980477233
2003-02-08,14696.12664460409
2003-02-09,14727.026757099205
2003-02-10,14888.235286000872
2003-02-11,14914.047139815859
2003-02-12,14950.782803141068
2003-02-13,
2003-02-14,14901.691922730977
2003-02-15,
2003-02-16,14930.015350993728
2003-02-17,14752.16291747603
2003-02-18,14920.645093654926
2003-02-19,14662.576870026529
2003-02-20,
2003-02-21,14911.83722463543
2003-02-22,14775.3425866929
2003-02-23,14951.019251874552
2003-02-24,14957.749044842152
2003-02-25,14979.87904649037
2003-02-26,14665.585491703758
2003-02-27,
2003-02-28,14953.066970415684
2003-03-01,
2003-03-02,14959.82983315707
2003-03-03,15075.28852432519
2003-03-04,14998.067738606534
2003-03-05,14574.910323253389
2003-03-06,14715.589049338147
2003-03-07,
2003-03-08,
2003-03-09,14874.878899139676
2003-03-10,
2003-03-11,14973.386636228579
2003-03-12,14833.323691086709
2003-03-13,14588.323619794424
2003-03-14,14930.169450094567
2003-03-15,
2003-03-16,15016.235459139129
2003-03-17,
