LST_Day_1km,date
14753.356590374526,2002-02-24
14888.45731935163,2002-02-25
,2002-02-26
15014.368197569107,2002-02-27
14798.419185147282,2002-02-28
15031.035750854418,2002-03-01
14794.163731456598,2002-03-02
15123.629400570884,2002-03-03
14877.359861201234,2002-03-04
15196.812119891956,2002-03-05
14894.788079470201,2002-03-06
,2002-03-07
,2002-03-08
,2002-03-09
,2002-03-10
14782.058634081652,2002-03-11
14759.31998717058,2002-03-12
14750.426330676268,2002-03-13
,2002-03-14
15049.357646910319,2002-03-15
14793.865899352464,2002-03-16
14993.064881926584,2002-03-17
14881.044616047748,2002-03-18
14811.542092335614,2002-03-19
,2002-03-28
15026.603968261052,2002-03-29
,2002-03-30
14965.258502338569,2002-03-31
14788.419235187921,2002-04-01
14976.850906611526,2002-04-02
15038.328141059708,2002-04-03
15023.11861311055,2002-04-04
15063.292729241191,2002-04-05
14910.75984496497,2002-04-06
15123.720224353861,2002-04-07
14769.693690580543,2002-04-08
15177.358578703022,2002-04-09
14949.780400234768,2002-04-10
15063.379182337369,2002-04-11
14958.290343594972,2002-04-12
14870.628898148323,2002-04-13
14984.173192081149,2002-04-14
14928.240205621789,2002-04-16
14838.698317198492,2002-04-17
15022.23732873311,2002-04-18
14857.520243961271,2002-04-19
,2002-04-20
,2002-04-21
,2002-04-22
,2002-04-23
14819.273212627671,2002-04-24
14880.03692811026,2002-04-25
14788.205545255347,2002-04-26
14945.30239645684,2002-04-27
14845.703153665512,2002-04-28
14859.956589363494,2002-04-29
14921.624478263331,2002-04-30
,2002-05-01
,2002-05-02
14690.113973634654,2002-05-03
15003.988011071491,2002-05-04
14776.558833991612,2002-05-05
,2002-05-06
14979.844547827815,2002-05-07
14793.386788105721,2002-05-08
14794.103092783505,2002-05-09
,2002-05-10
15079.552412656132,2002-05-11
,2002-05-12
15076.327815011029,2002-05-13
,2002-05-14
14981.845748981774,2002-05-15
15060.5919144957,2002-05-16
,2002-05-17
15187.164059639514,2002-05-18
14950.73031335846,2002-05-19
15121.630220233657,2002-05-20
14992.422620657266,2002-05-21
15056.387303712556,2002-05-22
,2002-05-23
,2002-05-24
15124.812849840335,2002-05-25
14940.0,2002-05-26
15076.24339557926,2002-05-27
15177.767467799758,2002-05-28
,2002-05-29
14819.288777698355,2002-05-30
14984.390967823481,2002-05-31
15084.578388655837,2002-06-01
,2002-06-02
,2002-06-03
15145.507010490215,2002-06-04
14997.252461429507,2002-06-05
15040.122782560016,2002-06-06
15041.147647749016,2002-06-07
15036.136408305843,2002-06-08
15174.133525165029,2002-06-09
15111.974723108113,2002-06-10
,2002-06-11
,2002-06-12
15107.918837945943,2002-06-13
,2002-06-14
,2002-06-15
,2002-06-16
15002.75625898283,2002-06-17
,2002-06-18
15001.274536043731,2002-06-19
,2002-06-20
15024.886079100052,2002-06-21
14916.350483212706,2002-06-22
14814.656932139922,2002-06-23
,2002-06-24
,2002-06-25
14750.42857142857,2002-06-26
,2002-06-27
15031.952705018854,2002-06-28
,2002-06-29
,2002-06-30
14697.926108374384,2002-07-01
,2002-07-02
,2002-07-03
,2002-07-04
15016.454668470904,2002-07-05
15255.499014276613,2002-07-06
15093.437694757391,2002-07-07
15055.63066860791,2002-07-08
15093.697513086718,2002-07-09
15104.607198674345,2002-07-10
15409.28757477354,2002-07-11
,2002-07-12
,2002-07-13
15100.95766658445,2002-07-14
14902.419436715465,2002-07-15
15068.959893346018,2002-07-16
,2002-07-17
,2002-07-18
,2002-07-19
,2002-07-20
15200.099380045389,2002-07-21
15039.103635995423,2002-07-22
14957.818371744424,2002-07-23
14962.679934937565,2002-07-24
15062.767111636154,2002-07-25
,2002-07-26
15065.116906855765,2002-07-27
14933.001580163556,2002-07-28
,2002-07-29
15067.117774051558,2002-07-30
,2002-07-31
15159.843439470536,2002-08-01
15021.31478213953,2002-08-02
15185.199136752946,2002-08-03
,2002-08-04
,2002-08-05
15014.992482442558,2002-08-06
14979.910012592478,2002-08-07
15055.6784899157,2002-08-08
,2002-08-09
,2002-08-10
,2002-08-11
,2002-08-12
14970.92888810073,2002-08-13
,2002-08-14
,2002-08-15
,2002-08-16
15173.202650502166,2002-08-17
15092.121648169517,2002-08-18
15191.372636266826,2002-08-19
,2002-08-20
,2002-08-21
15148.801543355063,2002-08-22
14896.454307580923,2002-08-23
15147.670290836164,2002-08-24
14920.961396217783,2002-08-25
15062.213075823669,2002-08-26
14921.23961903413,2002-08-27
15092.93464540623,2002-08-28
15082.84982107867,2002-08-29
,2002-08-30
15123.44577517347,2002-08-31
15037.11148942036,2002-09-01
14996.80489460387,2002-09-02
14996.746652765249,2002-09-03
15119.590427991674,2002-09-04
15018.251524677315,2002-09-05
,2002-09-06
14923.461538461539,2002-09-07
14985.448561270481,2002-09-08
15120.733194077147,2002-09-09
15046.290956256977,2002-09-10
14740.534579641237,2002-09-11
,2002-09-12
,2002-09-13
,2002-09-14
,2002-09-15
15181.479588550972,2002-09-16
,2002-09-17
,2002-09-18
,2002-09-19
,2002-09-20
,2002-09-21
,2002-09-22
15106.38820004895,2002-09-23
14986.668803447572,2002-09-24
15183.085932271055,2002-09-25
,2002-09-26
15125.964733820225,2002-09-27
15087.818603644724,2002-09-28
15179.032419281122,2002-09-29
15069.851704255163,2002-09-30
,2002-10-01
15112.44252461408,2002-10-02
14970.434502337841,2002-10-03
15096.462834491436,2002-10-04
14991.587171038122,2002-10-05
15050.94361772195,2002-10-06
15113.580314113646,2002-10-07
,2002-10-08
