LST_Day_1km,date
15234.840313597271,2002-02-24
15399.470030521235,2002-02-25
15316.9159587283,2002-02-26
15165.0,2002-02-27
15349.022890116905,2002-02-28
,2002-03-01
15518.96181192349,2002-03-02
,2002-03-03
15408.906004379212,2002-03-04
15394.804211761317,2002-03-05
15295.78269790856,2002-03-06
15415.547036732192,2002-03-07
15286.011594202899,2002-03-08
15314.537832410775,2002-03-09
,2002-03-10
15534.977176799803,2002-03-11
,2002-03-12
,2002-03-13
15423.352527841747,2002-03-14
15337.914131470307,2002-03-15
15585.041075657491,2002-03-16
,2002-03-17
15594.497477891284,2002-03-18
15455.963685639063,2002-03-19
,2002-03-28
15675.110718518372,2002-03-29
15367.87076971239,2002-03-30
15519.391933090887,2002-03-31
15731.432058676608,2002-04-01
,2002-04-02
15716.700912337385,2002-04-03
15304.960420367282,2002-04-04
15593.670427182158,2002-04-05
,2002-04-06
15511.577437693617,2002-04-07
15543.664018539908,2002-04-08
15425.16210912572,2002-04-09
15620.466200653724,2002-04-10
,2002-04-11
15696.654195234927,2002-04-12
15488.179963157567,2002-04-13
15603.342859452396,2002-04-14
15064.882591093117,2002-04-16
15729.596185766852,2002-04-17
,2002-04-18
15649.910491109486,2002-04-19
15066.0,2002-04-20
15495.30544340674,2002-04-21
15708.327742140447,2002-04-22
15558.234452152004,2002-04-23
15769.648539710775,2002-04-24
,2002-04-25
15453.256590526342,2002-04-26
,2002-04-27
15813.370078740156,2002-04-28
15503.709975767024,2002-04-29
15702.836021215588,2002-04-30
15497.068453165639,2002-05-01
15388.43316832228,2002-05-02
15555.89944465751,2002-05-03
,2002-05-04
15766.422587966177,2002-05-05
15349.939697906237,2002-05-06
15714.546334335755,2002-05-07
15321.841381365106,2002-05-08
15497.42358833764,2002-05-09
15426.957315866188,2002-05-10
,2002-05-11
15444.11804146855,2002-05-12
,2002-05-13
15555.052738528093,2002-05-14
,2002-05-15
15441.50359755886,2002-05-16
15314.666010724657,2002-05-17
14879.0,2002-05-18
15429.898703638319,2002-05-19
,2002-05-20
15671.268461007594,2002-05-21
,2002-05-22
15351.736475840336,2002-05-23
,2002-05-24
,2002-05-25
,2002-05-26
,2002-05-27
,2002-05-28
,2002-05-29
15108.829705994654,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
,2002-06-03
,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
15068.467267654003,2002-06-09
