LST_Day_1km,date
14798.972268612733,2002-02-24
14858.33227693808,2002-02-25
14942.893129334529,2002-02-26
14987.953287549513,2002-02-27
14950.641090049241,2002-02-28
15042.72643043676,2002-03-01
15056.309648991037,2002-03-02
,2002-03-03
14884.714631699137,2002-03-04
14868.336907754476,2002-03-05
15031.972953459146,2002-03-06
14762.496347533777,2002-03-07
,2002-03-08
14923.701886792456,2002-03-09
,2002-03-10
14885.728571428568,2002-03-11
14926.832783284437,2002-03-12
15202.889340386608,2002-03-13
14965.103516278738,2002-03-14
15064.586608365815,2002-03-15
14964.529626669719,2002-03-16
15012.42628270961,2002-03-17
15144.813293633426,2002-03-18
,2002-03-19
,2002-03-28
15130.5093215896,2002-03-29
15018.67426381702,2002-03-30
14940.70508065707,2002-03-31
15074.788814465983,2002-04-01
15125.896065922381,2002-04-02
15091.17578982175,2002-04-03
14734.78846153846,2002-04-04
15229.292946103982,2002-04-05
14901.580285682658,2002-04-06
15110.607604475766,2002-04-07
15044.044990238133,2002-04-08
14993.08235342871,2002-04-09
15034.231160928743,2002-04-10
,2002-04-11
15197.192081752968,2002-04-12
14848.277742516402,2002-04-13
15155.263164996795,2002-04-14
14984.620832900613,2002-04-16
14970.925991618758,2002-04-17
14950.918946294803,2002-04-18
15112.082167436185,2002-04-19
14819.858613715756,2002-04-20
15233.870259739415,2002-04-21
14759.473516103273,2002-04-22
15011.575389708923,2002-04-23
15089.955284784302,2002-04-24
15038.525681398634,2002-04-25
14999.744954185246,2002-04-26
,2002-04-27
15159.173266119906,2002-04-28
14810.764064700288,2002-04-29
15158.798920924988,2002-04-30
14882.680154928143,2002-05-01
15032.33879924028,2002-05-02
15055.901043964122,2002-05-03
,2002-05-04
14951.937778503603,2002-05-05
,2002-05-06
,2002-05-07
,2002-05-08
14898.022408512008,2002-05-09
,2002-05-10
,2002-05-11
14985.784756798166,2002-05-12
,2002-05-13
15127.651545721495,2002-05-14
14910.94661485831,2002-05-15
15034.996556412163,2002-05-16
14981.608272615606,2002-05-17
15060.730691037952,2002-05-18
15097.683824088386,2002-05-19
14972.981907198357,2002-05-20
15069.86256385695,2002-05-21
15055.821212121213,2002-05-22
14771.728067778082,2002-05-23
14840.025713288784,2002-05-24
15058.998972753025,2002-05-25
15033.01185079098,2002-05-26
14947.370702093773,2002-05-27
14952.642570392312,2002-05-28
,2002-05-29
14975.514789207422,2002-05-30
14862.692295450932,2002-05-31
15087.324541531254,2002-06-01
,2002-06-02
14883.988055658168,2002-06-03
15082.081069650585,2002-06-04
14863.653304870331,2002-06-05
15127.606219594494,2002-06-06
,2002-06-07
15117.807077262773,2002-06-08
14920.83482001478,2002-06-09
14844.919306246771,2002-06-10
,2002-06-11
,2002-06-12
,2002-06-13
,2002-06-14
15011.75450736587,2002-06-15
,2002-06-16
14911.481515324576,2002-06-17
14980.69846984698,2002-06-18
14645.912133891214,2002-06-19
,2002-06-20
,2002-06-21
15037.822540643505,2002-06-22
,2002-06-23
14789.449425287361,2002-06-24
,2002-06-25
14963.827742564605,2002-06-26
14983.33283448855,2002-06-27
,2002-06-28
,2002-06-29
,2002-06-30
15052.425520668145,2002-07-01
,2002-07-02
15078.477373158754,2002-07-03
,2002-07-04
14979.09065476873,2002-07-05
14983.938225362916,2002-07-06
,2002-07-07
14990.971193623249,2002-07-08
15266.431073952424,2002-07-09
15016.975953053296,2002-07-10
14955.672751558326,2002-07-11
14592.115189251186,2002-07-12
,2002-07-13
14805.073304157551,2002-07-14
14745.43075768942,2002-07-15
14823.0,2002-07-16
15124.005491068629,2002-07-17
,2002-07-18
14991.691369329637,2002-07-19
14882.085357745607,2002-07-20
14998.168220080184,2002-07-21
15033.625687720867,2002-07-22
14970.531522647172,2002-07-23
15050.443201594793,2002-07-24
,2002-07-25
,2002-07-26
,2002-07-27
15018.166512442349,2002-07-28
14983.499012664535,2002-07-29
14959.850456586048,2002-07-30
15060.195598339942,2002-07-31
,2002-08-01
15183.645556451826,2002-08-02
14804.75615984581,2002-08-03
15039.473816299376,2002-08-04
14852.088141743048,2002-08-05
15060.558820664353,2002-08-06
15063.088352274417,2002-08-07
15006.883171660562,2002-08-08
15037.99962211548,2002-08-09
15191.097591362126,2002-08-10
14797.0,2002-08-11
,2002-08-12
,2002-08-13
15005.608633075048,2002-08-14
,2002-08-15
15013.949301075583,2002-08-16
,2002-08-17
15158.932106241135,2002-08-18
14924.196317605152,2002-08-19
15055.454221694612,2002-08-20
,2002-08-21
15056.074205394438,2002-08-22
15032.298353510907,2002-08-23
14873.504527409785,2002-08-24
15119.422681881306,2002-08-25
,2002-08-26
14845.502378686964,2002-08-27
,2002-08-28
,2002-08-29
,2002-08-30
,2002-08-31
,2002-09-01
,2002-09-02
15179.453509618337,2002-09-03
14814.459572182375,2002-09-04
15109.143526504125,2002-09-05
15050.172335953917,2002-09-06
,2002-09-07
,2002-09-08
,2002-09-09
15031.231588209417,2002-09-10
,2002-09-11
15171.279386587457,2002-09-12
15334.451323513125,2002-09-13
,2002-09-14
15037.0,2002-09-15
15128.710812387893,2002-09-16
,2002-09-17
,2002-09-18
,2002-09-19
,2002-09-20
15139.230395199664,2002-09-21
14919.530318556472,2002-09-22
15100.35038024826,2002-09-23
15021.0451874126,2002-09-24
15237.565131448899,2002-09-25
15160.123290486794,2002-09-26
14954.00402414487,2002-09-27
15145.690871049299,2002-09-28
14998.444494266858,2002-09-29
15195.683419548064,2002-09-30
,2002-10-01
14865.081356311546,2002-10-02
15083.122935489431,2002-10-03
,2002-10-04
15031.553991599247,2002-10-05
14896.620625419906,2002-10-06
15138.974659756275,2002-10-07
15004.851134720564,2002-10-08
,2002-10-09
15086.258842605117,2002-10-10
15085.812535628778,2002-10-11
15107.072499961461,2002-10-12
,2002-10-13
15141.933095222916,2002-10-14
14992.409473029411,2002-10-15
15140.646207151654,2002-10-16
15034.247577897795,2002-10-17
14977.602697216033,2002-10-18
15061.033495624313,2002-10-19
,2002-10-20
15148.222676200205,2002-10-21
,2002-10-22
14901.619883040938,2002-10-23
,2002-10-24
14987.733428256339,2002-10-25
14950.132387247288,2002-10-26
14940.23291518442,2002-10-27
,2002-10-28
,2002-10-29
15053.918938971046,2002-10-30
14967.8930288176,2002-10-31
15178.236377806521,2002-11-01
14941.221965719247,2002-11-02
14970.198083934065,2002-11-03
14958.805459639054,2002-11-04
,2002-11-05
15014.08706736712,2002-11-06
,2002-11-07
15063.852190274736,2002-11-08
14831.90414474112,2002-11-09
14763.71352785146,2002-11-10
15085.628438043645,2002-11-11
15022.277675616035,2002-11-12
,2002-11-13
14858.492109282199,2002-11-14
15104.077730207753,2002-11-15
14864.086140286621,2002-11-16
14927.011152689121,2002-11-17
14901.239983743706,2002-11-18
14932.324540698382,2002-11-19
14843.390268456378,2002-11-20
,2002-11-21
,2002-11-22
,2002-11-23
,2002-11-24
,2002-11-25
14970.26381878103,2002-11-26
14842.786825726142,2002-11-27
,2002-11-28
14991.08675799087,2002-11-29
14841.976649746191,2002-11-30
15051.734374716081,2002-12-01
14971.032385079567,2002-12-02
15061.701462522857,2002-12-03
14984.74536468038,2002-12-04
14931.156871133571,2002-12-05
14866.190415151068,2002-12-06
,2002-12-07
15039.633985725848,2002-12-08
14653.627531799844,2002-12-09
15058.161532093669,2002-12-10
14862.47950490275,2002-12-11
14880.875712445968,2002-12-12
15008.96396350347,2002-12-13
,2002-12-14
15027.933353842716,2002-12-15
14763.42247466994,2002-12-16
14923.396095556125,2002-12-17
14837.610631598942,2002-12-18
15023.86614092651,2002-12-19
14995.209902674369,2002-12-20
14897.820925837843,2002-12-21
15061.918419576028,2002-12-22
,2002-12-23
14980.625311638902,2002-12-24
,2002-12-25
14831.422969918276,2002-12-26
,2002-12-27
14925.6817306782,2002-12-28
14928.823337876724,2002-12-29
,2002-12-30
15051.404972625041,2002-12-31
,2003-01-01
14945.44616741383,2003-01-02
14766.0,2003-01-03
,2003-01-04
14899.817173661922,2003-01-05
14966.144097179536,2003-01-06
14828.051485655738,2003-01-07
,2003-01-08
15065.668154627423,2003-01-09
14991.445123933545,2003-01-10
,2003-01-11
14898.836033256177,2003-01-12
14985.139887311945,2003-01-13
14841.95219982249,2003-01-14
,2003-01-15
14912.43471765761,2003-01-16
,2003-01-17
14943.344279025092,2003-01-18
14832.285890527357,2003-01-19
14981.938010670006,2003-01-20
14891.08745865336,2003-01-21
14921.283927395845,2003-01-22
14988.408468320456,2003-01-23
,2003-01-24
15033.977776284248,2003-01-25
14816.014409402447,2003-01-26
15095.724747025646,2003-01-27
14823.018148406887,2003-01-28
14956.936055858534,2003-01-29
14917.59864640159,2003-01-30
15022.467733972786,2003-01-31
,2003-02-01
,2003-02-02
,2003-02-03
14918.392979647848,2003-02-04
14967.345283706349,2003-02-05
14814.634860452872,2003-02-06
14993.705795267319,2003-02-07
15041.065163233026,2003-02-08
14907.0,2003-02-09
14986.248832360303,2003-02-10
,2003-02-11
15124.896119002642,2003-02-12
14999.46943420592,2003-02-13
,2003-02-14
15019.968223841306,2003-02-15
,2003-02-16
15084.230052644429,2003-02-17
,2003-02-18
14865.395840696863,2003-02-19
14837.06630663066,2003-02-20
14973.31952359608,2003-02-21
14861.712641516528,2003-02-22
,2003-02-23
14997.737331853212,2003-02-24
,2003-02-25
15068.87525641387,2003-02-26
14885.837398373984,2003-02-27
15146.522080471052,2003-02-28
14812.437970287476,2003-03-01
14991.84089210558,2003-03-02
15027.724413342665,2003-03-03
15002.964397798012,2003-03-04
15186.310813406317,2003-03-05
,2003-03-06
15011.16222196344,2003-03-07
14892.991236270156,2003-03-08
15136.977181936261,2003-03-09
,2003-03-10
14842.553318801554,2003-03-11
15098.313296644114,2003-03-12
,2003-03-13
15041.68869470235,2003-03-14
,2003-03-15
15184.23703093184,2003-03-16
14943.399161655221,2003-03-17
,2003-03-18
15081.415053235552,2003-03-19
15004.0,2003-03-20
15166.01644637706,2003-03-21
,2003-03-22
15184.585794952558,2003-03-23
14715.76151511545,2003-03-24
15094.439479177727,2003-03-25
15016.833673191955,2003-03-26
,2003-03-27
,2003-03-28
,2003-03-29
14901.766421868626,2003-03-30
,2003-03-31
14897.720947251339,2003-04-01
14829.027759342745,2003-04-02
15000.358877127539,2003-04-03
14999.255503485192,2003-04-04
15009.256168550291,2003-04-05
15124.442955585744,2003-04-06
14867.714718564268,2003-04-07
15203.781114298654,2003-04-08
14875.62606198751,2003-04-09
15128.674372838483,2003-04-10
14960.595478082147,2003-04-11
15021.096263605841,2003-04-12
15123.01254290872,2003-04-13
,2003-04-14
15178.564858766349,2003-04-15
14892.84534814445,2003-04-16
15135.832790367249,2003-04-17
15039.61000498471,2003-04-18
15042.903929589695,2003-04-19
15105.004404590116,2003-04-20
14983.155164000784,2003-04-21
15005.256677710964,2003-04-22
,2003-04-23
15081.779079412667,2003-04-24
15217.11226551974,2003-04-25
15140.829521879812,2003-04-26
14992.432678249312,2003-04-27
14851.91462192798,2003-04-28
15143.576321491431,2003-04-29
,2003-04-30
15164.896309671598,2003-05-01
14813.46868778795,2003-05-02
15082.739195218306,2003-05-03
15004.365682089028,2003-05-04
15049.337745864272,2003-05-05
14995.895865237375,2003-05-06
,2003-05-07
15082.642484342372,2003-05-08
,2003-05-09
,2003-05-10
,2003-05-11
14865.56643312899,2003-05-12
,2003-05-13
15241.409891870246,2003-05-14
15049.347194582526,2003-05-15
,2003-05-16
,2003-05-17
,2003-05-18
15079.503499247825,2003-05-19
,2003-05-20
14909.924719853567,2003-05-21
15001.164431047477,2003-05-22
14901.56066272396,2003-05-23
14979.78594256547,2003-05-24
,2003-05-25
15024.915278634588,2003-05-26
,2003-05-27
,2003-05-28
,2003-05-29
,2003-05-30
15006.772607183466,2003-05-31
,2003-06-01
15092.424204544259,2003-06-02
14735.528604756428,2003-06-03
15081.87236205468,2003-06-04
15015.457210355855,2003-06-05
15102.324584093778,2003-06-06
15090.10142416014,2003-06-07
15010.804757238691,2003-06-08
15145.19222016781,2003-06-09
14730.796868203566,2003-06-10
15128.647973800536,2003-06-11
,2003-06-12
14913.540556949734,2003-06-13
15019.598335458611,2003-06-14
,2003-06-15
14980.280592646788,2003-06-16
,2003-06-17
,2003-06-18
14839.340196705594,2003-06-19
,2003-06-20
14870.780858168118,2003-06-21
14989.004830917873,2003-06-22
,2003-06-23
14841.166400638467,2003-06-24
14944.926823145475,2003-06-25
14822.701503278424,2003-06-26
14875.092796165341,2003-06-27
,2003-06-28
15033.958645157716,2003-06-29
15017.53466909133,2003-06-30
14610.441830654103,2003-07-01
14936.120523041613,2003-07-02
,2003-07-03
15058.71604663738,2003-07-04
,2003-07-05
,2003-07-06
14899.31891362858,2003-07-07
,2003-07-08
,2003-07-09
14956.054317860719,2003-07-10
15034.528340432085,2003-07-11
14901.575549795138,2003-07-12
15021.992257079497,2003-07-13
14653.463604852688,2003-07-14
,2003-07-15
14908.369057758755,2003-07-16
,2003-07-17
,2003-07-18
,2003-07-19
15048.431378033261,2003-07-20
,2003-07-21
,2003-07-22
,2003-07-23
,2003-07-24
15038.409090909092,2003-07-25
,2003-07-26
15098.491531455227,2003-07-27
,2003-07-28
14904.31180380413,2003-07-29
