LST_Day_1km,date
15138.0779201956,2002-02-24
15230.56847517855,2002-02-25
15196.93756845377,2002-02-26
15246.635281369909,2002-02-27
15196.251060753348,2002-02-28
,2002-03-01
15402.091735782757,2002-03-02
,2002-03-03
15371.8026183305,2002-03-04
15237.98248806189,2002-03-05
15291.259515616111,2002-03-06
15061.322410066983,2002-03-07
15060.879581605928,2002-03-08
14988.636592559249,2002-03-09
,2002-03-10
15416.322508920644,2002-03-11
14881.690474429237,2002-03-12
15227.794061469003,2002-03-13
15314.518476006888,2002-03-14
15204.341314635614,2002-03-15
15397.643575485616,2002-03-16
,2002-03-17
15516.123693623145,2002-03-18
15183.965939102764,2002-03-19
,2002-03-28
15509.019875362232,2002-03-29
15326.717523946729,2002-03-30
15342.018637547162,2002-03-31
15550.127023563558,2002-04-01
,2002-04-02
15562.663746769427,2002-04-03
15201.212377975204,2002-04-04
15369.959221029041,2002-04-05
15256.459796088846,2002-04-06
15402.337234282784,2002-04-07
15404.6307344353,2002-04-08
15125.165396760562,2002-04-09
15489.558204515493,2002-04-10
,2002-04-11
15509.71216177882,2002-04-12
15303.756297874581,2002-04-13
15427.621012454105,2002-04-14
15146.041197250344,2002-04-16
15482.600874660206,2002-04-17
,2002-04-18
15385.575866886576,2002-04-19
15104.720567937784,2002-04-20
15404.12037292406,2002-04-21
15427.562484189917,2002-04-22
15317.001158914696,2002-04-23
15487.272543220848,2002-04-24
15247.085038143046,2002-04-25
15124.29640332641,2002-04-26
,2002-04-27
15465.995043724972,2002-04-28
15225.63324741173,2002-04-29
15452.491108035736,2002-04-30
15384.007161968875,2002-05-01
15268.393609920848,2002-05-02
15424.573508811867,2002-05-03
,2002-05-04
15581.972767859106,2002-05-05
15128.0061103459,2002-05-06
15421.048601547089,2002-05-07
15269.863704517456,2002-05-08
15407.790180796594,2002-05-09
15433.335836450386,2002-05-10
15074.526087473258,2002-05-11
15411.817537597159,2002-05-12
,2002-05-13
15535.118017246714,2002-05-14
15200.911209122003,2002-05-15
15404.30255284495,2002-05-16
15274.4150002338,2002-05-17
15159.358767424794,2002-05-18
15458.479725782367,2002-05-19
,2002-05-20
15243.503269771425,2002-05-21
,2002-05-22
,2002-05-23
15067.446428571431,2002-05-24
,2002-05-25
,2002-05-26
15040.467635273344,2002-05-27
,2002-05-28
,2002-05-29
15033.9774448746,2002-05-30
,2002-05-31
,2002-06-01
,2002-06-02
15062.741738066094,2002-06-03
,2002-06-04
,2002-06-05
,2002-06-06
,2002-06-07
,2002-06-08
15130.916862684011,2002-06-09
15116.51938188848,2002-06-10
15158.969652196403,2002-06-11
15031.483229667381,2002-06-12
15013.053582873988,2002-06-13
,2002-06-14
15247.743700380528,2002-06-15
14973.165042757964,2002-06-16
15148.782551388069,2002-06-17
14995.608914759594,2002-06-18
15046.182970910555,2002-06-19
15017.48966691546,2002-06-20
,2002-06-21
15147.093103350924,2002-06-22
14913.795239522407,2002-06-23
15227.92950678898,2002-06-24
15066.312802174843,2002-06-25
15049.719630838941,2002-06-26
15013.558413663035,2002-06-27
15351.326390675851,2002-06-28
15176.326407390405,2002-06-29
,2002-06-30
15136.852539062502,2002-07-01
15017.412713087968,2002-07-02
,2002-07-03
,2002-07-04
,2002-07-05
,2002-07-06
,2002-07-07
,2002-07-08
,2002-07-09
,2002-07-10
