date,LST_Day_1km
2002-02-24,
2002-02-25,15300.609609533107
2002-02-26,15004.166072290165
2002-02-27,15274.00315711171
2002-02-28,15182.3134638792
2002-03-01,15176.831130425844
2002-03-02,15170.930565519748
2002-03-03,15081.096582612594
2002-03-04,15322.05323787759
2002-03-05,14804.721246301775
2002-03-06,15127.640140337839
2002-03-07,14848.944057290266
2002-03-08,
2002-03-09,15237.568829856351
2002-03-10,15357.541045289192
2002-03-11,15142.285604697137
2002-03-12,
2002-03-13,15025.127047894042
2002-03-14,
2002-03-15,15256.387947636784
2002-03-16,15110.893373526504
2002-03-17,14848.0
2002-03-18,15228.188479146183
2002-03-19,15098.178259637189
2002-03-28,
2002-03-29,15268.525265946999
2002-03-30,15150.458455948996
2002-03-31,15261.894859444265
2002-04-01,15100.097174180317
2002-04-02,15087.104156268997
2002-04-03,15309.562720409975
2002-04-04,14983.901084531948
2002-04-05,15343.334100174698
2002-04-06,
2002-04-07,15282.145182130906
2002-04-08,15029.429411556594
2002-04-09,15213.836413551879
2002-04-10,15169.01387759776
2002-04-11,14991.541873493123
2002-04-12,15233.33704877015
2002-04-13,
2002-04-14,15254.92809676426
2002-04-16,15283.733478047532
2002-04-17,15012.5766233016
2002-04-18,15139.215444429548
2002-04-19,15119.353316225233
2002-04-20,15407.27413924675
2002-04-21,15233.400859484309
2002-04-22,
2002-04-23,
2002-04-24,15019.887373865364
2002-04-25,15111.532772374418
2002-04-26,15094.83714602738
2002-04-27,
2002-04-28,15248.537318829158
2002-04-29,
2002-04-30,15252.177461593923
2002-05-01,14971.9704276711
2002-05-02,
2002-05-03,15077.141449027895
2002-05-04,15019.915287906633
2002-05-05,15001.430469823976
2002-05-06,
2002-05-07,15035.820656830085
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,
2002-05-12,14970.71948051948
2002-05-13,15082.157735155626
2002-05-14,15107.228810892135
2002-05-15,
2002-05-16,15244.035683246375
2002-05-17,14868.63138941683
2002-05-18,15160.239743843777
2002-05-19,14942.319409266274
2002-05-20,15174.702509832543
2002-05-21,
2002-05-22,15065.154173121493
2002-05-23,15100.755927952574
2002-05-24,
2002-05-25,15071.130767946699
2002-05-26,14934.367227033646
2002-05-27,15113.31199631651
2002-05-28,14996.3978775712
2002-05-29,
2002-05-30,
2002-05-31,
2002-06-01,15130.552751027724
2002-06-02,
2002-06-03,15034.550287750068
2002-06-04,14904.013462283183
2002-06-05,14955.29636352727
2002-06-06,15056.027501398543
2002-06-07,14915.393284189386
2002-06-08,15123.800472484327
2002-06-09,
2002-06-10,15154.785804368563
2002-06-11,14821.974343719789
2002-06-12,
2002-06-13,14980.426794069248
2002-06-14,
2002-06-15,
