date,LST_Day_1km
2002-02-24,
2002-02-25,15171.61342237179
2002-02-26,14955.497825367223
2002-02-27,15188.971547112753
2002-02-28,15070.212780838938
2002-03-01,15111.135081757326
2002-03-02,15056.712020070527
2002-03-03,15086.809933222394
2002-03-04,15196.352531550498
2002-03-05,14817.211219102941
2002-03-06,15146.863692359377
2002-03-07,14871.280240403701
2002-03-08,
2002-03-09,14736.52997818044
2002-03-10,15218.093437374946
2002-03-11,15152.891275897775
2002-03-12,
2002-03-13,15115.265350786638
2002-03-14,14855.210079193665
2002-03-15,15133.34919543593
2002-03-16,15094.768778240752
2002-03-17,15077.937572187571
2002-03-18,15071.474900982828
2002-03-19,15025.337679185313
2002-03-28,
2002-03-29,15256.933915315993
2002-03-30,15074.585146880367
2002-03-31,15257.520250929407
2002-04-01,15135.304325939298
2002-04-02,15149.841181684087
2002-04-03,15297.860246451377
2002-04-04,15154.177286617945
2002-04-05,15326.363177612495
2002-04-06,14882.443466657047
2002-04-07,15298.254023569538
2002-04-08,15059.068252719953
2002-04-09,15185.719212648963
2002-04-10,15142.2120400613
2002-04-11,14962.800724575765
2002-04-12,15233.821336544424
2002-04-13,
2002-04-14,15267.626746622504
2002-04-16,15204.415085542543
2002-04-17,15039.54930060736
2002-04-18,15103.898381837944
2002-04-19,15099.384315669888
2002-04-20,15471.104710234282
2002-04-21,15327.65528534443
2002-04-22,14766.218097576799
2002-04-23,
2002-04-24,14871.032187236966
2002-04-25,14932.0980149632
2002-04-26,15031.665218872438
2002-04-27,
2002-04-28,15221.400350609643
2002-04-29,
2002-04-30,15252.288017885498
2002-05-01,14996.485479902889
2002-05-02,15059.285714285714
2002-05-03,15026.347818571947
2002-05-04,15031.155680318825
2002-05-05,14979.171750470128
2002-05-06,
2002-05-07,15259.096887840937
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,15224.653107985487
2002-05-12,14894.123592175452
2002-05-13,14959.153871769828
2002-05-14,15141.72285236033
2002-05-15,
2002-05-16,15263.048651093166
2002-05-17,14918.323213598536
2002-05-18,15208.829628858692
2002-05-19,14997.709973815412
2002-05-20,15019.146042152957
2002-05-21,
2002-05-22,15131.34877421194
2002-05-23,15096.308009676319
2002-05-24,14950.4180818373
2002-05-25,15108.312266128683
2002-05-26,14953.781533009473
2002-05-27,15109.160113476913
2002-05-28,14983.482711995375
2002-05-29,
2002-05-30,14934.784916201117
2002-05-31,
2002-06-01,15135.49530249284
2002-06-02,15430.594088202615
2002-06-03,15091.719794484747
2002-06-04,14928.003157348876
2002-06-05,
2002-06-06,15062.229516424228
2002-06-07,15015.956453984985
2002-06-08,15108.456033144235
2002-06-09,
2002-06-10,15145.387470922966
2002-06-11,14897.17654949398
2002-06-12,
2002-06-13,14959.960275275915
2002-06-14,
2002-06-15,15045.659029649594
2002-06-16,
2002-06-17,15061.918279122456
2002-06-18,14828.325770283944
2002-06-19,15062.053374806508
2002-06-20,
2002-06-21,14908.29168952034
2002-06-22,15004.539833790444
2002-06-23,14889.72468069398
2002-06-24,15058.418771739005
2002-06-25,
2002-06-26,
2002-06-27,14955.038600145434
2002-06-28,14913.350802644007
2002-06-29,
2002-06-30,
2002-07-01,14971.837201004044
2002-07-02,
2002-07-03,
2002-07-04,
2002-07-05,
2002-07-06,15015.567622026403
2002-07-07,
2002-07-08,15028.60994857293
2002-07-09,15087.099744040783
2002-07-10,15128.708668840834
2002-07-11,
2002-07-12,
2002-07-13,
2002-07-14,15052.912731220886
2002-07-15,15070.998996303133
2002-07-16,14883.052378777387
2002-07-17,15095.032931022164
2002-07-18,
2002-07-19,
2002-07-20,14984.349185208392
2002-07-21,15067.470471773991
2002-07-22,15001.284088138464
2002-07-23,14817.870696697397
2002-07-24,15042.990504393367
2002-07-25,
2002-07-26,
2002-07-27,
2002-07-28,15135.577150135821
2002-07-29,14923.700248514353
2002-07-30,15103.44335719079
2002-07-31,14937.179931024933
2002-08-01,
2002-08-02,15106.041498473485
2002-08-03,
2002-08-04,14846.086544161233
2002-08-05,
2002-08-06,14968.270181697504
2002-08-07,15003.892560353699
2002-08-08,15008.00819985057
2002-08-09,14955.5561159318
2002-08-10,
2002-08-11,
2002-08-12,
2002-08-13,
2002-08-14,
2002-08-15,
2002-08-16,
2002-08-17,
2002-08-18,15058.872666971114
2002-08-19,
2002-08-20,15208.706042139549
2002-08-21,15284.0
2002-08-22,15155.31683026891
2002-08-23,15084.126263606937
2002-08-24,15031.04152510507
2002-08-25,15037.352299833268
2002-08-26,14934.870313172723
2002-08-27,14991.696674197157
2002-08-28,
2002-08-29,15128.577949940413
2002-08-30,
2002-08-31,15089.761486954514
2002-09-01,14991.814770524175
2002-09-02,15100.346690438748
2002-09-03,15100.68608527812
2002-09-04,
2002-09-05,14727.110699397876
2002-09-06,14761.655013417198
2002-09-07,14995.088230165646
2002-09-08,
2002-09-09,15113.990150487201
2002-09-10,14967.301259057753
2002-09-11,
2002-09-12,15004.834741397073
2002-09-13,
