date,LST_Day_1km
2002-02-24,
2002-02-25,15219.066813152629
2002-02-26,15047.696475284347
2002-02-27,15280.225353706137
2002-02-28,15175.926287131533
2002-03-01,15206.46104787059
2002-03-02,15196.024100917433
2002-03-03,15198.177890100469
2002-03-04,15256.776118852571
2002-03-05,14863.889390496435
2002-03-06,15194.103897551104
2002-03-07,14890.766485530312
2002-03-08,
2002-03-09,14973.776355038197
2002-03-10,15423.341240686193
2002-03-11,15263.66343947673
2002-03-12,
2002-03-13,15224.739619113041
2002-03-14,
2002-03-15,15182.022345570871
2002-03-16,15116.214240153768
2002-03-17,15031.811682978583
2002-03-18,15305.055914835193
2002-03-19,15423.32231040565
2002-03-28,
2002-03-29,15383.425371033343
2002-03-30,15139.116401089048
2002-03-31,15394.6410734121
2002-04-01,15139.059496261367
2002-04-02,15294.68857422827
2002-04-03,15386.397504046323
2002-04-04,15249.185055015107
2002-04-05,15417.016416405775
2002-04-06,
2002-04-07,15356.397243907315
2002-04-08,15146.64883452867
2002-04-09,15284.36846852908
2002-04-10,15222.19200542456
2002-04-11,15160.821149995521
2002-04-12,15315.405936983465
2002-04-13,
2002-04-14,15379.117688103399
2002-04-16,15354.649728013621
2002-04-17,15069.93290634637
2002-04-18,
2002-04-19,15124.909844610065
2002-04-20,
2002-04-21,15146.937831505742
2002-04-22,
2002-04-23,15009.875
2002-04-24,15024.753331664964
2002-04-25,15074.204129262174
2002-04-26,15051.639212747674
2002-04-27,
2002-04-28,15304.906782464186
2002-04-29,
2002-04-30,15325.573593922538
2002-05-01,15140.860985718027
2002-05-02,15064.970588235294
2002-05-03,15149.160885772826
2002-05-04,15062.0650751333
2002-05-05,14909.157025458835
2002-05-06,
2002-05-07,15297.255444713323
2002-05-08,
2002-05-09,
2002-05-10,
2002-05-11,14951.022835279902
2002-05-12,14802.033903133904
2002-05-13,
2002-05-14,15146.084977701505
2002-05-15,
2002-05-16,15247.786838954795
2002-05-17,14940.627025141623
2002-05-18,15199.754522466697
2002-05-19,14999.217048724562
2002-05-20,15041.174463698395
2002-05-21,
2002-05-22,15120.942072910446
2002-05-23,15115.246655605091
2002-05-24,15264.537428273343
2002-05-25,15110.144531063894
2002-05-26,15008.183187669947
2002-05-27,15135.542520226287
