time,datetime,LST_Day_1km
1641081600000,2022-01-02,14956
1641513600000,2022-01-07,14886
1641600000000,2022-01-08,14910
1641686400000,2022-01-09,14968
1641081600000,2022-01-02,14900
1641513600000,2022-01-07,14844
1641600000000,2022-01-08,14887
1641686400000,2022-01-09,14916
1641081600000,2022-01-02,14863
1641513600000,2022-01-07,14816
1641600000000,2022-01-08,14883
1641686400000,2022-01-09,14878
1641081600000,2022-01-02,14841
1641513600000,2022-01-07,14798
1641600000000,2022-01-08,14840
1641686400000,2022-01-09,14870
1641081600000,2022-01-02,15014
1641513600000,2022-01-07,14947
1641600000000,2022-01-08,14979
1641686400000,2022-01-09,15020
1641081600000,2022-01-02,14990
1641513600000,2022-01-07,14979
1641600000000,2022-01-08,14975
1641686400000,2022-01-09,14995
1641081600000,2022-01-02,14992
1641513600000,2022-01-07,14984
1641600000000,2022-01-08,14944
1641686400000,2022-01-09,15015
1641081600000,2022-01-02,14992
1641513600000,2022-01-07,14940
1641600000000,2022-01-08,14933
1641686400000,2022-01-09,15024
1641081600000,2022-01-02,14982
1641513600000,2022-01-07,14884
1641600000000,2022-01-08,14927
1641686400000,2022-01-09,15010
1641081600000,2022-01-02,14943
1641513600000,2022-01-07,14874
1641600000000,2022-01-08,14900
1641686400000,2022-01-09,14936
1641081600000,2022-01-02,14897
1641513600000,2022-01-07,14844
1641600000000,2022-01-08,14897
1641686400000,2022-01-09,14888
1641081600000,2022-01-02,14860
1641513600000,2022-01-07,14836
1641600000000,2022-01-08,14881
1641686400000,2022-01-09,14880
1641081600000,2022-01-02,14845
1641513600000,2022-01-07,14804
1641600000000,2022-01-08,14844
1641686400000,2022-01-09,14859
1641081600000,2022-01-02,14838
1641513600000,2022-01-07,14787
1641600000000,2022-01-08,14849
1641686400000,2022-01-09,14826
1641081600000,2022-01-02,14991
1641513600000,2022-01-07,14931
1641600000000,2022-01-08,14987
1641686400000,2022-01-09,15020
1641081600000,2022-01-02,14991
1641513600000,2022-01-07,14978
1641600000000,2022-01-08,14987
1641686400000,2022-01-09,15028
1641081600000,2022-01-02,15009
1641513600000,2022-01-07,14987
1641600000000,2022-01-08,14979
1641686400000,2022-01-09,15027
1641081600000,2022-01-02,15006
1641513600000,2022-01-07,14973
1641600000000,2022-01-08,14968
1641686400000,2022-01-09,15036
1641081600000,2022-01-02,14981
1641513600000,2022-01-07,14878
1641600000000,2022-01-08,14951
1641686400000,2022-01-09,14949
1641081600000,2022-01-02,14951
1641513600000,2022-01-07,14859
1641600000000,2022-01-08,14929
1641686400000,2022-01-09,14888
1641081600000,2022-01-02,14875
1641513600000,2022-01-07,14837
1641600000000,2022-01-08,14918
1641686400000,2022-01-09,14858
1641081600000,2022-01-02,14869
1641513600000,2022-01-07,14832
1641600000000,2022-01-08,14882
1641686400000,2022-01-09,14860
1641081600000,2022-01-02,14860
1641513600000,2022-01-07,14828
1641600000000,2022-01-08,14869
1641686400000,2022-01-09,14825
1641081600000,2022-01-02,14861
1641513600000,2022-01-07,14832
1641600000000,2022-01-08,14859
1641686400000,2022-01-09,14808
1641081600000,2022-01-02,14862
1641513600000,2022-01-07,14802
1641600000000,2022-01-08,14835
1641686400000,2022-01-09,14787
