time,datetime,LST_Day_1km
1641254400000,2022-01-04,14619
1641600000000,2022-01-08,14832
1641254400000,2022-01-04,14633
1641600000000,2022-01-08,14801
1641254400000,2022-01-04,14683
1641600000000,2022-01-08,14790
1641254400000,2022-01-04,14724
1641600000000,2022-01-08,14901
1641254400000,2022-01-04,14733
1641600000000,2022-01-08,14925
1641254400000,2022-01-04,14745
1641427200000,2022-01-06,14827
1641600000000,2022-01-08,14950
1641254400000,2022-01-04,14745
1641427200000,2022-01-06,14853
1641600000000,2022-01-08,14950
1641427200000,2022-01-06,14956
1641600000000,2022-01-08,14961
1641427200000,2022-01-06,14985
1641600000000,2022-01-08,14949
1641427200000,2022-01-06,14973
1641600000000,2022-01-08,14936
1641427200000,2022-01-06,14967
1641600000000,2022-01-08,14933
1641427200000,2022-01-06,14957
1641600000000,2022-01-08,14903
1641427200000,2022-01-06,14922
1641600000000,2022-01-08,14884
1641427200000,2022-01-06,14954
1641600000000,2022-01-08,14905
1641427200000,2022-01-06,14982
1641600000000,2022-01-08,14909
1641427200000,2022-01-06,14984
1641600000000,2022-01-08,14905
1641427200000,2022-01-06,14956
1641600000000,2022-01-08,14883
1641427200000,2022-01-06,14972
1641600000000,2022-01-08,14845
1641427200000,2022-01-06,14985
1641600000000,2022-01-08,14840
1641427200000,2022-01-06,15003
1641600000000,2022-01-08,14852
1641427200000,2022-01-06,15009
1641600000000,2022-01-08,14900
1641427200000,2022-01-06,15012
1641600000000,2022-01-08,14941
1641600000000,2022-01-08,14880
1641254400000,2022-01-04,14684
1641600000000,2022-01-08,14861
1641254400000,2022-01-04,14684
1641600000000,2022-01-08,14839
1641254400000,2022-01-04,14715
1641600000000,2022-01-08,14866
1641254400000,2022-01-04,14725
1641600000000,2022-01-08,14923
1641254400000,2022-01-04,14745
1641427200000,2022-01-06,14843
1641600000000,2022-01-08,14942
1641254400000,2022-01-04,14745
1641427200000,2022-01-06,14906
1641600000000,2022-01-08,14938
1641427200000,2022-01-06,14946
1641600000000,2022-01-08,14901
1641427200000,2022-01-06,14897
1641600000000,2022-01-08,14829
1641427200000,2022-01-06,14837
1641427200000,2022-01-06,14888
1641600000000,2022-01-08,14916
1641427200000,2022-01-06,14939
1641600000000,2022-01-08,14916
1641427200000,2022-01-06,14941
1641600000000,2022-01-08,14906
1641427200000,2022-01-06,14937
1641600000000,2022-01-08,14887
1641427200000,2022-01-06,14956
1641600000000,2022-01-08,14897
1641427200000,2022-01-06,14979
1641600000000,2022-01-08,14904
1641427200000,2022-01-06,14978
1641600000000,2022-01-08,14911
1641427200000,2022-01-06,14994
1641600000000,2022-01-08,14912
1641427200000,2022-01-06,15056
1641600000000,2022-01-08,14889
1641427200000,2022-01-06,15046
1641600000000,2022-01-08,14923
1641427200000,2022-01-06,15041
1641600000000,2022-01-08,14952
1641427200000,2022-01-06,15043
1641600000000,2022-01-08,14978
1641427200000,2022-01-06,15027
1641600000000,2022-01-08,14980
1641427200000,2022-01-06,15012
1641600000000,2022-01-08,14954
1641600000000,2022-01-08,14902
1641254400000,2022-01-04,14684
1641600000000,2022-01-08,14870
1641600000000,2022-01-08,14858
1641254400000,2022-01-04,14694
1641600000000,2022-01-08,14880
1641254400000,2022-01-04,14694
1641600000000,2022-01-08,14888
1641254400000,2022-01-04,14694
1641600000000,2022-01-08,14918
1641427200000,2022-01-06,14889
1641600000000,2022-01-08,14927
1641427200000,2022-01-06,14932
1641600000000,2022-01-08,14909
1641427200000,2022-01-06,14867
1641600000000,2022-01-08,14863
1641427200000,2022-01-06,14861
1641600000000,2022-01-08,14869
1641427200000,2022-01-06,14911
1641600000000,2022-01-08,14887
1641427200000,2022-01-06,14957
1641600000000,2022-01-08,14916
1641427200000,2022-01-06,14953
1641600000000,2022-01-08,14918
1641427200000,2022-01-06,14949
1641600000000,2022-01-08,14882
1641427200000,2022-01-06,14952
1641600000000,2022-01-08,14906
1641427200000,2022-01-06,14969
1641600000000,2022-01-08,14917
1641427200000,2022-01-06,15000
1641600000000,2022-01-08,14924
1641427200000,2022-01-06,15015
1641600000000,2022-01-08,14915
1641427200000,2022-01-06,15026
1641600000000,2022-01-08,14912
1641427200000,2022-01-06,15048
1641600000000,2022-01-08,14928
1641427200000,2022-01-06,15032
1641600000000,2022-01-08,14975
1641427200000,2022-01-06,15045
1641600000000,2022-01-08,14975
1641427200000,2022-01-06,15048
1641600000000,2022-01-08,14976
1641427200000,2022-01-06,15033
1641600000000,2022-01-08,14979
1641427200000,2022-01-06,15019
1641600000000,2022-01-08,14950
1641427200000,2022-01-06,15041
1641600000000,2022-01-08,14944
1641600000000,2022-01-08,14902
1641600000000,2022-01-08,14876
1641254400000,2022-01-04,14694
1641600000000,2022-01-08,14885
