time,datetime,LST_Day_1km
1641427200000,2022-01-06,14569
1641513600000,2022-01-07,14551
1641686400000,2022-01-09,14473
1641427200000,2022-01-06,14643
1641513600000,2022-01-07,14551
1641427200000,2022-01-06,14631
1641513600000,2022-01-07,14646
1641513600000,2022-01-07,14646
1641427200000,2022-01-06,14514
1641513600000,2022-01-07,14661
1641254400000,2022-01-04,14518
1641427200000,2022-01-06,14517
1641513600000,2022-01-07,14661
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641254400000,2022-01-04,14518
1641513600000,2022-01-07,14630
1641254400000,2022-01-04,14518
1641513600000,2022-01-07,14630
1641513600000,2022-01-07,14630
1641513600000,2022-01-07,14630
1641513600000,2022-01-07,14504
1641513600000,2022-01-07,14504
1641513600000,2022-01-07,14504
1641513600000,2022-01-07,14536
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641254400000,2022-01-04,14566
1641513600000,2022-01-07,14637
1641513600000,2022-01-07,14640
1641513600000,2022-01-07,14642
1641513600000,2022-01-07,14635
1641513600000,2022-01-07,14515
1641513600000,2022-01-07,14533
1641513600000,2022-01-07,14547
1641513600000,2022-01-07,14557
1641513600000,2022-01-07,14588
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641254400000,2022-01-04,14568
1641427200000,2022-01-06,14628
1641513600000,2022-01-07,14752
1641254400000,2022-01-04,14566
1641513600000,2022-01-07,14690
1641254400000,2022-01-04,14566
1641513600000,2022-01-07,14673
1641513600000,2022-01-07,14686
1641513600000,2022-01-07,14698
1641513600000,2022-01-07,14586
1641513600000,2022-01-07,14599
1641513600000,2022-01-07,14612
1641513600000,2022-01-07,14623
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641513600000,2022-01-07,14629
1641254400000,2022-01-04,14860
1641254400000,2022-01-04,14894
1641254400000,2022-01-04,14937
1641254400000,2022-01-04,14975
1641254400000,2022-01-04,14937
1641254400000,2022-01-04,14937
1641254400000,2022-01-04,14882
1641254400000,2022-01-04,14866
1641254400000,2022-01-04,14915
1641513600000,2022-01-07,14749
1641513600000,2022-01-07,14754
1641513600000,2022-01-07,14714
1641513600000,2022-01-07,14705
1641513600000,2022-01-07,14696
1641513600000,2022-01-07,14685
1641513600000,2022-01-07,14658
1641513600000,2022-01-07,14641
1641513600000,2022-01-07,14641
1641513600000,2022-01-07,14641
1641513600000,2022-01-07,14641
1641254400000,2022-01-04,14752
1641254400000,2022-01-04,14865
1641254400000,2022-01-04,14938
1641254400000,2022-01-04,14960
1641254400000,2022-01-04,14988
1641254400000,2022-01-04,15017
1641254400000,2022-01-04,14971
1641254400000,2022-01-04,14901
1641254400000,2022-01-04,14870
1641254400000,2022-01-04,14897
1641254400000,2022-01-04,14972
1641254400000,2022-01-04,14951
1641254400000,2022-01-04,14928
1641254400000,2022-01-04,14667
1641427200000,2022-01-06,14695
1641513600000,2022-01-07,14756
1641686400000,2022-01-09,14469
1641427200000,2022-01-06,14630
1641513600000,2022-01-07,14757
1641686400000,2022-01-09,14492
1641427200000,2022-01-06,14598
1641513600000,2022-01-07,14755
1641513600000,2022-01-07,14732
1641513600000,2022-01-07,14680
1641513600000,2022-01-07,14680
1641254400000,2022-01-04,14976
1641254400000,2022-01-04,15012
1641254400000,2022-01-04,15058
1641254400000,2022-01-04,15051
1641254400000,2022-01-04,15031
1641254400000,2022-01-04,14977
1641254400000,2022-01-04,14939
1641254400000,2022-01-04,14960
1641254400000,2022-01-04,14994
1641254400000,2022-01-04,14933
1641254400000,2022-01-04,14934
1641427200000,2022-01-06,14695
1641513600000,2022-01-07,14734
1641686400000,2022-01-09,14624
1641427200000,2022-01-06,14639
1641513600000,2022-01-07,14730
1641686400000,2022-01-09,14624
1641427200000,2022-01-06,14640
1641513600000,2022-01-07,14729
1641513600000,2022-01-07,14699
1641254400000,2022-01-04,14986
1641254400000,2022-01-04,15002
1641254400000,2022-01-04,14988
