time,datetime,LST_Day_1km
1641254400000,2022-01-04,15128
1641427200000,2022-01-06,15217
1641254400000,2022-01-04,15177
1641513600000,2022-01-07,15021
1641600000000,2022-01-08,15148
1641686400000,2022-01-09,14807
1641254400000,2022-01-04,15182
1641427200000,2022-01-06,15217
1641513600000,2022-01-07,15021
1641600000000,2022-01-08,15196
1641686400000,2022-01-09,14809
1641254400000,2022-01-04,15153
1641427200000,2022-01-06,15217
1641513600000,2022-01-07,15021
1641600000000,2022-01-08,15196
1641686400000,2022-01-09,14825
1641254400000,2022-01-04,15162
1641427200000,2022-01-06,15202
1641513600000,2022-01-07,15025
1641254400000,2022-01-04,15179
1641427200000,2022-01-06,15200
1641513600000,2022-01-07,14988
1641600000000,2022-01-08,15144
1641686400000,2022-01-09,14974
1641254400000,2022-01-04,15139
1641427200000,2022-01-06,15195
1641513600000,2022-01-07,15044
1641600000000,2022-01-08,15202
1641686400000,2022-01-09,14853
1641254400000,2022-01-04,15139
1641427200000,2022-01-06,15180
1641513600000,2022-01-07,15071
1641600000000,2022-01-08,15220
1641686400000,2022-01-09,14808
1641254400000,2022-01-04,15161
1641427200000,2022-01-06,15206
1641513600000,2022-01-07,15077
1641600000000,2022-01-08,15231
1641686400000,2022-01-09,14809
1641254400000,2022-01-04,15175
1641427200000,2022-01-06,15193
1641513600000,2022-01-07,15081
1641600000000,2022-01-08,15225
1641254400000,2022-01-04,15163
1641427200000,2022-01-06,15201
1641513600000,2022-01-07,15092
1641600000000,2022-01-08,15216
1641254400000,2022-01-04,15190
1641427200000,2022-01-06,15207
1641600000000,2022-01-08,15218
1641254400000,2022-01-04,15173
1641427200000,2022-01-06,15202
1641513600000,2022-01-07,14980
1641600000000,2022-01-08,15115
1641686400000,2022-01-09,14862
1641254400000,2022-01-04,15162
1641427200000,2022-01-06,15172
1641513600000,2022-01-07,14972
1641600000000,2022-01-08,15131
1641686400000,2022-01-09,14862
1641254400000,2022-01-04,15114
1641427200000,2022-01-06,15157
1641513600000,2022-01-07,14987
1641600000000,2022-01-08,15156
1641686400000,2022-01-09,14862
1641254400000,2022-01-04,15136
1641427200000,2022-01-06,15164
1641513600000,2022-01-07,15071
1641600000000,2022-01-08,15180
1641686400000,2022-01-09,14821
1641254400000,2022-01-04,15160
1641427200000,2022-01-06,15183
1641513600000,2022-01-07,15098
1641600000000,2022-01-08,15202
1641686400000,2022-01-09,14806
1641254400000,2022-01-04,15156
1641427200000,2022-01-06,15209
1641513600000,2022-01-07,15099
1641600000000,2022-01-08,15213
1641686400000,2022-01-09,14806
1641254400000,2022-01-04,15155
1641427200000,2022-01-06,15195
1641513600000,2022-01-07,15092
1641600000000,2022-01-08,15210
1641254400000,2022-01-04,15173
1641427200000,2022-01-06,15217
1641513600000,2022-01-07,15056
1641600000000,2022-01-08,15218
1641254400000,2022-01-04,15182
1641427200000,2022-01-06,15207
1641513600000,2022-01-07,15012
1641600000000,2022-01-08,15210
1641254400000,2022-01-04,15143
1641427200000,2022-01-06,15218
1641513600000,2022-01-07,15012
1641600000000,2022-01-08,15181
1641254400000,2022-01-04,15163
1641427200000,2022-01-06,15082
1641513600000,2022-01-07,14951
1641600000000,2022-01-08,15064
1641686400000,2022-01-09,14917
1641254400000,2022-01-04,15171
1641427200000,2022-01-06,15206
1641513600000,2022-01-07,14953
1641600000000,2022-01-08,15076
1641686400000,2022-01-09,14904
1641254400000,2022-01-04,15147
