time,datetime,LST_Day_1km
1641686400000,2022-01-09,14611
1641686400000,2022-01-09,14586
1641686400000,2022-01-09,14586
1641686400000,2022-01-09,14601
1641081600000,2022-01-02,14916
1641600000000,2022-01-08,14886
1641686400000,2022-01-09,14885
1641081600000,2022-01-02,14958
1641686400000,2022-01-09,14936
1641081600000,2022-01-02,14994
1641686400000,2022-01-09,14957
1641600000000,2022-01-08,14639
1641081600000,2022-01-02,14719
1641081600000,2022-01-02,14699
1641081600000,2022-01-02,14699
1641081600000,2022-01-02,14783
1641081600000,2022-01-02,14836
1641686400000,2022-01-09,14903
1641081600000,2022-01-02,14897
1641686400000,2022-01-09,14918
1641081600000,2022-01-02,14995
1641686400000,2022-01-09,14928
1641081600000,2022-01-02,14975
1641081600000,2022-01-02,14911
1641081600000,2022-01-02,14636
1641081600000,2022-01-02,14652
1641081600000,2022-01-02,14675
1641081600000,2022-01-02,14703
1641081600000,2022-01-02,14738
1641081600000,2022-01-02,14774
1641081600000,2022-01-02,14855
1641686400000,2022-01-09,14935
1641081600000,2022-01-02,14942
1641686400000,2022-01-09,14934
1641081600000,2022-01-02,14970
1641686400000,2022-01-09,14931
1641081600000,2022-01-02,14958
1641081600000,2022-01-02,14898
1641600000000,2022-01-08,14616
1641081600000,2022-01-02,14542
1641081600000,2022-01-02,14542
1641081600000,2022-01-02,14718
1641081600000,2022-01-02,14722
1641081600000,2022-01-02,14745
1641081600000,2022-01-02,14812
1641686400000,2022-01-09,14928
1641081600000,2022-01-02,14861
1641686400000,2022-01-09,14929
1641081600000,2022-01-02,14956
1641686400000,2022-01-09,14936
1641081600000,2022-01-02,14987
1641686400000,2022-01-09,14974
1641081600000,2022-01-02,14991
1641686400000,2022-01-09,15011
1641081600000,2022-01-02,14986
1641686400000,2022-01-09,15026
1641081600000,2022-01-02,14973
1641686400000,2022-01-09,15011
1641081600000,2022-01-02,14403
1641081600000,2022-01-02,14403
1641081600000,2022-01-02,14515
1641686400000,2022-01-09,14588
1641081600000,2022-01-02,14526
1641686400000,2022-01-09,14618
1641081600000,2022-01-02,14568
1641686400000,2022-01-09,14680
1641081600000,2022-01-02,14591
1641686400000,2022-01-09,14670
1641081600000,2022-01-02,14545
1641686400000,2022-01-09,14665
1641081600000,2022-01-02,14516
1641081600000,2022-01-02,14745
1641081600000,2022-01-02,14745
1641081600000,2022-01-02,14847
1641686400000,2022-01-09,14944
1641081600000,2022-01-02,14844
1641686400000,2022-01-09,14952
1641081600000,2022-01-02,14897
1641686400000,2022-01-09,14953
1641081600000,2022-01-02,14957
1641081600000,2022-01-02,14983
1641081600000,2022-01-02,15005
1641686400000,2022-01-09,14988
1641081600000,2022-01-02,14963
1641686400000,2022-01-09,14988
1641081600000,2022-01-02,14995
1641081600000,2022-01-02,15039
1641686400000,2022-01-09,14550
1641686400000,2022-01-09,14550
1641081600000,2022-01-02,14515
1641686400000,2022-01-09,14588
1641081600000,2022-01-02,14515
1641686400000,2022-01-09,14588
1641081600000,2022-01-02,14618
1641686400000,2022-01-09,14660
1641081600000,2022-01-02,14615
1641686400000,2022-01-09,14678
1641081600000,2022-01-02,14589
1641686400000,2022-01-09,14665
1641081600000,2022-01-02,14516
1641686400000,2022-01-09,14665
1641081600000,2022-01-02,14516
1641081600000,2022-01-02,14809
1641081600000,2022-01-02,14820
1641686400000,2022-01-09,14954
1641081600000,2022-01-02,14864
1641686400000,2022-01-09,14955
1641081600000,2022-01-02,14934
1641686400000,2022-01-09,14986
1641081600000,2022-01-02,14964
1641686400000,2022-01-09,15000
1641081600000,2022-01-02,15007
1641686400000,2022-01-09,15009
1641081600000,2022-01-02,15011
1641081600000,2022-01-02,14973
1641081600000,2022-01-02,14997
1641081600000,2022-01-02,15027
1641081600000,2022-01-02,15063
1641686400000,2022-01-09,14550
1641686400000,2022-01-09,14550
1641686400000,2022-01-09,14550
1641081600000,2022-01-02,14575
1641081600000,2022-01-02,14594
1641686400000,2022-01-09,14588
1641081600000,2022-01-02,14605
1641081600000,2022-01-02,14650
1641686400000,2022-01-09,14701
1641081600000,2022-01-02,14653
1641686400000,2022-01-09,14693
1641686400000,2022-01-09,14687
1641081600000,2022-01-02,14747
1641081600000,2022-01-02,14747
1641081600000,2022-01-02,14886
1641686400000,2022-01-09,14940
1641081600000,2022-01-02,14954
1641686400000,2022-01-09,14960
1641081600000,2022-01-02,14983
1641686400000,2022-01-09,14998
1641081600000,2022-01-02,14994
1641686400000,2022-01-09,15010
1641081600000,2022-01-02,15005
1641686400000,2022-01-09,15009
1641081600000,2022-01-02,14989
1641081600000,2022-01-02,14985
1641081600000,2022-01-02,15050
1641081600000,2022-01-02,15087
1641686400000,2022-01-09,14588
1641686400000,2022-01-09,14594
1641686400000,2022-01-09,14738
1641081600000,2022-01-02,14575
1641686400000,2022-01-09,14738
1641081600000,2022-01-02,14591
1641686400000,2022-01-09,14738
1641081600000,2022-01-02,14610
1641081600000,2022-01-02,14628
1641081600000,2022-01-02,14644
1641686400000,2022-01-09,14701
1641081600000,2022-01-02,14644
1641686400000,2022-01-09,14701
1641686400000,2022-01-09,14688
1641686400000,2022-01-09,14687
1641686400000,2022-01-09,14625
1641686400000,2022-01-09,14629
1641686400000,2022-01-09,14655
1641081600000,2022-01-02,14747
1641686400000,2022-01-09,14860
1641081600000,2022-01-02,14791
1641686400000,2022-01-09,14877
1641081600000,2022-01-02,14939
1641686400000,2022-01-09,14923
1641081600000,2022-01-02,14981
1641686400000,2022-01-09,14979
1641081600000,2022-01-02,14988
1641686400000,2022-01-09,15019
1641081600000,2022-01-02,14989
1641081600000,2022-01-02,14974
1641686400000,2022-01-09,14922
1641081600000,2022-01-02,14995
1641686400000,2022-01-09,14922
1641081600000,2022-01-02,15042
1641686400000,2022-01-09,15009
1641686400000,2022-01-09,14594
1641686400000,2022-01-09,14594
1641081600000,2022-01-02,14661
1641686400000,2022-01-09,14594
1641081600000,2022-01-02,14681
1641081600000,2022-01-02,14716
1641686400000,2022-01-09,14738
1641081600000,2022-01-02,14702
1641686400000,2022-01-09,14738
1641081600000,2022-01-02,14671
1641081600000,2022-01-02,14663
1641081600000,2022-01-02,14661
1641686400000,2022-01-09,14701
1641081600000,2022-01-02,14654
1641686400000,2022-01-09,14701
1641081600000,2022-01-02,14639
1641686400000,2022-01-09,14701
1641686400000,2022-01-09,14675
1641686400000,2022-01-09,14666
1641686400000,2022-01-09,14665
1641686400000,2022-01-09,14660
1641686400000,2022-01-09,14655
1641081600000,2022-01-02,14726
1641081600000,2022-01-02,14760
1641686400000,2022-01-09,14869
1641081600000,2022-01-02,14845
1641686400000,2022-01-09,14895
1641081600000,2022-01-02,14907
1641686400000,2022-01-09,14964
1641081600000,2022-01-02,14977
1641686400000,2022-01-09,14961
1641081600000,2022-01-02,14956
1641081600000,2022-01-02,14962
1641686400000,2022-01-09,14922
1641081600000,2022-01-02,14989
1641686400000,2022-01-09,14922
1641081600000,2022-01-02,15027
1641081600000,2022-01-02,15080
1641686400000,2022-01-09,15030
1641081600000,2022-01-02,14678
1641081600000,2022-01-02,14705
1641686400000,2022-01-09,14738
1641081600000,2022-01-02,14700
1641081600000,2022-01-02,14679
1641081600000,2022-01-02,14669
1641081600000,2022-01-02,14660
1641081600000,2022-01-02,14701
1641686400000,2022-01-09,14675
1641686400000,2022-01-09,14705
1641686400000,2022-01-09,14702
1641686400000,2022-01-09,14655
1641081600000,2022-01-02,14726
1641081600000,2022-01-02,14742
1641686400000,2022-01-09,14910
1641081600000,2022-01-02,14784
1641686400000,2022-01-09,14910
1641081600000,2022-01-02,14887
1641686400000,2022-01-09,14943
1641081600000,2022-01-02,14881
1641686400000,2022-01-09,14961
1641081600000,2022-01-02,14929
1641686400000,2022-01-09,14990
1641081600000,2022-01-02,14966
1641686400000,2022-01-09,14978
1641081600000,2022-01-02,14962
1641686400000,2022-01-09,14922
1641081600000,2022-01-02,15016
1641081600000,2022-01-02,15049
1641686400000,2022-01-09,15079
1641686400000,2022-01-09,14638
1641686400000,2022-01-09,14656
1641686400000,2022-01-09,14656
1641081600000,2022-01-02,14677
1641081600000,2022-01-02,14661
1641081600000,2022-01-02,14646
1641081600000,2022-01-02,14641
1641081600000,2022-01-02,14622
1641081600000,2022-01-02,14669
1641081600000,2022-01-02,14709
1641686400000,2022-01-09,14813
1641686400000,2022-01-09,14813
1641686400000,2022-01-09,14813
1641081600000,2022-01-02,14781
1641081600000,2022-01-02,14789
1641081600000,2022-01-02,14790
1641686400000,2022-01-09,14948
1641081600000,2022-01-02,14887
1641686400000,2022-01-09,14953
1641081600000,2022-01-02,14882
1641686400000,2022-01-09,14971
1641081600000,2022-01-02,14878
1641686400000,2022-01-09,14983
1641081600000,2022-01-02,14963
1641686400000,2022-01-09,14996
1641081600000,2022-01-02,14944
1641686400000,2022-01-09,15000
1641081600000,2022-01-02,14950
1641081600000,2022-01-02,14985
1641686400000,2022-01-09,14613
