time,datetime,LST_Day_1km
1641513600000,2022-01-07,14770
1641081600000,2022-01-02,14493
1641081600000,2022-01-02,14493
1641513600000,2022-01-07,14682
1641513600000,2022-01-07,14682
1641513600000,2022-01-07,14682
1641513600000,2022-01-07,14762
1641513600000,2022-01-07,14770
1641081600000,2022-01-02,14478
1641513600000,2022-01-07,14617
1641513600000,2022-01-07,14732
1641513600000,2022-01-07,14801
1641513600000,2022-01-07,14843
1641513600000,2022-01-07,14872
1641513600000,2022-01-07,14893
1641081600000,2022-01-02,14478
1641513600000,2022-01-07,14637
1641513600000,2022-01-07,14641
1641513600000,2022-01-07,14798
1641513600000,2022-01-07,14881
1641513600000,2022-01-07,14881
1641513600000,2022-01-07,14885
1641513600000,2022-01-07,14701
1641513600000,2022-01-07,14838
1641513600000,2022-01-07,14875
1641513600000,2022-01-07,14874
1641513600000,2022-01-07,14700
1641513600000,2022-01-07,14757
1641513600000,2022-01-07,14871
1641513600000,2022-01-07,14875
1641513600000,2022-01-07,14878
1641513600000,2022-01-07,14721
1641513600000,2022-01-07,14732
1641513600000,2022-01-07,14888
1641513600000,2022-01-07,14889
1641513600000,2022-01-07,14759
1641513600000,2022-01-07,14792
1641513600000,2022-01-07,14881
1641513600000,2022-01-07,14899
1641513600000,2022-01-07,14799
1641081600000,2022-01-02,14516
1641513600000,2022-01-07,14850
1641081600000,2022-01-02,14516
1641513600000,2022-01-07,14899
1641081600000,2022-01-02,14558
1641513600000,2022-01-07,14818
1641081600000,2022-01-02,14516
1641513600000,2022-01-07,14866
1641081600000,2022-01-02,14528
1641513600000,2022-01-07,14893
1641081600000,2022-01-02,14606
1641513600000,2022-01-07,14859
1641081600000,2022-01-02,14609
1641513600000,2022-01-07,14861
1641081600000,2022-01-02,14616
1641513600000,2022-01-07,14861
1641081600000,2022-01-02,14709
1641081600000,2022-01-02,14640
1641513600000,2022-01-07,14860
1641081600000,2022-01-02,14655
1641513600000,2022-01-07,14859
1641081600000,2022-01-02,14713
1641513600000,2022-01-07,14899
1641081600000,2022-01-02,14709
1641513600000,2022-01-07,14899
1641081600000,2022-01-02,14718
1641513600000,2022-01-07,14853
1641081600000,2022-01-02,14744
1641513600000,2022-01-07,14881
1641081600000,2022-01-02,14775
1641513600000,2022-01-07,14901
1641081600000,2022-01-02,14785
1641513600000,2022-01-07,14912
1641081600000,2022-01-02,14819
1641513600000,2022-01-07,14881
1641081600000,2022-01-02,14784
1641513600000,2022-01-07,14899
1641081600000,2022-01-02,14823
1641513600000,2022-01-07,14952
1641081600000,2022-01-02,14869
1641513600000,2022-01-07,14958
1641081600000,2022-01-02,14901
1641254400000,2022-01-04,14930
1641513600000,2022-01-07,14973
1641081600000,2022-01-02,14960
1641254400000,2022-01-04,14966
1641513600000,2022-01-07,15001
1641081600000,2022-01-02,14998
1641254400000,2022-01-04,14968
1641513600000,2022-01-07,15022
1641081600000,2022-01-02,15020
1641254400000,2022-01-04,14879
1641513600000,2022-01-07,15023
1641081600000,2022-01-02,14979
1641254400000,2022-01-04,14821
1641513600000,2022-01-07,15022
1641081600000,2022-01-02,14907
1641513600000,2022-01-07,14953
1641081600000,2022-01-02,14866
1641168000000,2022-01-03,14844
1641254400000,2022-01-04,14671
1641513600000,2022-01-07,14933
1641081600000,2022-01-02,14835
1641168000000,2022-01-03,14844
1641254400000,2022-01-04,14599
1641513600000,2022-01-07,14924
1641081600000,2022-01-02,14817
1641168000000,2022-01-03,14844
1641254400000,2022-01-04,14498
1641513600000,2022-01-07,14905
1641081600000,2022-01-02,14809
1641168000000,2022-01-03,14844
1641513600000,2022-01-07,14900
1641081600000,2022-01-02,14915
1641168000000,2022-01-03,14928
1641254400000,2022-01-04,14913
1641513600000,2022-01-07,14997
1641081600000,2022-01-02,14946
1641168000000,2022-01-03,14931
1641254400000,2022-01-04,14970
1641513600000,2022-01-07,15003
1641081600000,2022-01-02,14988
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14983
1641513600000,2022-01-07,15011
1641081600000,2022-01-02,15024
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14968
1641513600000,2022-01-07,15002
1641081600000,2022-01-02,14979
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14860
1641513600000,2022-01-07,14992
1641081600000,2022-01-02,14920
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14785
1641513600000,2022-01-07,14949
1641081600000,2022-01-02,14828
1641168000000,2022-01-03,14876
1641254400000,2022-01-04,14694
1641513600000,2022-01-07,14915
1641081600000,2022-01-02,14790
1641168000000,2022-01-03,14844
1641254400000,2022-01-04,14661
1641513600000,2022-01-07,14909
1641081600000,2022-01-02,14774
1641168000000,2022-01-03,14844
1641254400000,2022-01-04,14535
1641513600000,2022-01-07,14896
1641081600000,2022-01-02,14772
1641168000000,2022-01-03,14844
1641254400000,2022-01-04,14498
1641513600000,2022-01-07,14895
1641081600000,2022-01-02,14957
1641168000000,2022-01-03,14928
1641254400000,2022-01-04,14927
1641513600000,2022-01-07,15011
1641081600000,2022-01-02,15006
1641168000000,2022-01-03,14933
1641254400000,2022-01-04,14994
1641513600000,2022-01-07,15017
1641081600000,2022-01-02,14942
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14977
1641513600000,2022-01-07,14984
1641081600000,2022-01-02,14942
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14918
1641513600000,2022-01-07,14971
1641081600000,2022-01-02,14899
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14842
1641513600000,2022-01-07,14942
1641081600000,2022-01-02,14787
1641168000000,2022-01-03,14934
1641254400000,2022-01-04,14758
1641513600000,2022-01-07,14879
1641081600000,2022-01-02,14717
1641168000000,2022-01-03,14857
1641254400000,2022-01-04,14690
1641513600000,2022-01-07,14849
1641081600000,2022-01-02,14683
1641168000000,2022-01-03,14834
