time,datetime,LST_Day_1km
1641081600000,2022-01-02,14798
1641254400000,2022-01-04,14936
1641513600000,2022-01-07,14910
1641686400000,2022-01-09,14948
1641081600000,2022-01-02,14785
1641254400000,2022-01-04,14952
1641513600000,2022-01-07,14910
1641686400000,2022-01-09,14937
1641254400000,2022-01-04,15138
1641513600000,2022-01-07,15126
1641254400000,2022-01-04,15107
1641513600000,2022-01-07,15126
1641081600000,2022-01-02,15035
1641254400000,2022-01-04,15139
1641340800000,2022-01-05,15082
1641513600000,2022-01-07,15162
1641686400000,2022-01-09,15158
1641081600000,2022-01-02,15095
1641254400000,2022-01-04,15142
1641340800000,2022-01-05,15082
1641513600000,2022-01-07,15162
1641686400000,2022-01-09,15158
1641081600000,2022-01-02,15102
1641254400000,2022-01-04,15141
1641513600000,2022-01-07,15137
1641686400000,2022-01-09,15163
1641081600000,2022-01-02,15117
1641513600000,2022-01-07,15251
1641600000000,2022-01-08,15217
1641686400000,2022-01-09,15275
1641081600000,2022-01-02,15184
1641254400000,2022-01-04,15243
1641340800000,2022-01-05,15226
1641513600000,2022-01-07,15251
1641600000000,2022-01-08,15217
1641686400000,2022-01-09,15284
1641081600000,2022-01-02,15244
1641254400000,2022-01-04,15235
1641340800000,2022-01-05,15226
1641513600000,2022-01-07,15256
1641600000000,2022-01-08,15217
1641686400000,2022-01-09,15300
1641081600000,2022-01-02,15149
1641254400000,2022-01-04,15206
1641340800000,2022-01-05,15226
1641513600000,2022-01-07,15283
1641600000000,2022-01-08,15158
1641686400000,2022-01-09,15266
1641081600000,2022-01-02,15149
1641254400000,2022-01-04,15196
1641340800000,2022-01-05,15126
1641513600000,2022-01-07,15272
1641600000000,2022-01-08,15156
1641686400000,2022-01-09,15241
1641254400000,2022-01-04,15209
1641340800000,2022-01-05,15126
1641513600000,2022-01-07,15271
1641600000000,2022-01-08,15156
1641686400000,2022-01-09,15232
1641081600000,2022-01-02,15040
1641340800000,2022-01-05,15082
1641513600000,2022-01-07,15160
1641600000000,2022-01-08,15116
1641686400000,2022-01-09,15113
1641081600000,2022-01-02,15060
1641254400000,2022-01-04,15159
1641340800000,2022-01-05,15082
1641513600000,2022-01-07,15161
1641600000000,2022-01-08,15116
1641686400000,2022-01-09,15129
1641081600000,2022-01-02,15077
1641254400000,2022-01-04,15166
1641340800000,2022-01-05,15082
1641513600000,2022-01-07,15159
1641600000000,2022-01-08,15116
1641686400000,2022-01-09,15154
1641081600000,2022-01-02,15103
1641254400000,2022-01-04,15166
1641513600000,2022-01-07,15159
1641600000000,2022-01-08,15116
1641686400000,2022-01-09,15171
1641081600000,2022-01-02,15102
1641254400000,2022-01-04,15204
1641340800000,2022-01-05,15157
1641513600000,2022-01-07,15226
1641686400000,2022-01-09,15164
1641254400000,2022-01-04,15257
1641340800000,2022-01-05,15157
1641513600000,2022-01-07,15226
1641686400000,2022-01-09,15132
1641081600000,2022-01-02,15059
1641254400000,2022-01-04,15251
1641340800000,2022-01-05,15218
1641513600000,2022-01-07,15237
1641686400000,2022-01-09,15132
1641081600000,2022-01-02,15057
1641254400000,2022-01-04,15141
1641340800000,2022-01-05,15207
1641513600000,2022-01-07,15235
1641686400000,2022-01-09,15197
1641081600000,2022-01-02,15133
1641254400000,2022-01-04,15186
1641340800000,2022-01-05,15201
1641513600000,2022-01-07,15248
1641600000000,2022-01-08,15211
1641686400000,2022-01-09,15249
1641081600000,2022-01-02,15183
1641254400000,2022-01-04,15243
1641340800000,2022-01-05,15196
1641513600000,2022-01-07,15269
1641600000000,2022-01-08,15202
1641686400000,2022-01-09,15278
1641081600000,2022-01-02,15154
1641254400000,2022-01-04,15223
1641340800000,2022-01-05,15183
1641513600000,2022-01-07,15268
1641600000000,2022-01-08,15175
1641686400000,2022-01-09,15283
1641081600000,2022-01-02,15097
1641254400000,2022-01-04,15179
1641340800000,2022-01-05,15136
1641513600000,2022-01-07,15265
1641600000000,2022-01-08,15137
1641686400000,2022-01-09,15255
1641081600000,2022-01-02,15092
1641254400000,2022-01-04,15276
1641340800000,2022-01-05,15126
1641513600000,2022-01-07,15258
1641600000000,2022-01-08,15123
1641686400000,2022-01-09,15258
1641254400000,2022-01-04,15276
1641340800000,2022-01-05,15126
1641513600000,2022-01-07,15271
1641600000000,2022-01-08,15107
1641686400000,2022-01-09,15271
1641081600000,2022-01-02,15161
1641254400000,2022-01-04,15297
1641686400000,2022-01-09,15169
1641081600000,2022-01-02,15161
1641254400000,2022-01-04,15283
1641340800000,2022-01-05,15082
1641686400000,2022-01-09,15159
1641254400000,2022-01-04,15232
1641340800000,2022-01-05,15089
1641513600000,2022-01-07,15214
1641600000000,2022-01-08,15124
1641686400000,2022-01-09,15119
1641081600000,2022-01-02,15067
1641254400000,2022-01-04,15158
1641340800000,2022-01-05,15101
1641513600000,2022-01-07,15179
1641600000000,2022-01-08,15101
1641686400000,2022-01-09,15099
1641081600000,2022-01-02,15065
1641254400000,2022-01-04,15139
1641340800000,2022-01-05,15109
1641513600000,2022-01-07,15160
1641600000000,2022-01-08,15106
1641686400000,2022-01-09,15093
1641081600000,2022-01-02,15041
1641254400000,2022-01-04,15154
1641340800000,2022-01-05,15122
1641513600000,2022-01-07,15150
1641600000000,2022-01-08,15106
1641686400000,2022-01-09,15114
1641081600000,2022-01-02,15054
1641254400000,2022-01-04,15160
1641340800000,2022-01-05,15147
1641513600000,2022-01-07,15185
1641600000000,2022-01-08,15132
1641686400000,2022-01-09,15149
1641081600000,2022-01-02,15065
1641254400000,2022-01-04,15192
1641340800000,2022-01-05,15145
1641513600000,2022-01-07,15179
1641600000000,2022-01-08,15146
1641686400000,2022-01-09,15144
1641081600000,2022-01-02,15149
1641254400000,2022-01-04,15266
1641340800000,2022-01-05,15160
1641513600000,2022-01-07,15186
1641600000000,2022-01-08,15144
1641686400000,2022-01-09,15124
1641081600000,2022-01-02,15058
1641254400000,2022-01-04,15160
1641340800000,2022-01-05,15185
1641513600000,2022-01-07,15185
1641600000000,2022-01-08,15134
1641686400000,2022-01-09,15137
1641081600000,2022-01-02,15046
1641254400000,2022-01-04,15103
1641340800000,2022-01-05,15188
1641513600000,2022-01-07,15194
1641600000000,2022-01-08,15134
1641686400000,2022-01-09,15150
1641081600000,2022-01-02,15091
1641254400000,2022-01-04,15198
1641340800000,2022-01-05,15188
1641513600000,2022-01-07,15227
1641600000000,2022-01-08,15146
1641686400000,2022-01-09,15236
1641081600000,2022-01-02,15127
1641254400000,2022-01-04,15193
1641340800000,2022-01-05,15186
1641513600000,2022-01-07,15225
1641600000000,2022-01-08,15146
1641686400000,2022-01-09,15230
1641081600000,2022-01-02,15090
1641254400000,2022-01-04,15163
1641340800000,2022-01-05,15161
1641513600000,2022-01-07,15216
1641600000000,2022-01-08,15121
1641686400000,2022-01-09,15217
1641081600000,2022-01-02,15099
1641254400000,2022-01-04,15186
1641340800000,2022-01-05,15126
1641513600000,2022-01-07,15241
1641600000000,2022-01-08,15125
1641686400000,2022-01-09,15251
1641081600000,2022-01-02,15116
1641254400000,2022-01-04,15223
1641340800000,2022-01-05,15122
1641513600000,2022-01-07,15245
1641600000000,2022-01-08,15122
1641686400000,2022-01-09,15265
1641254400000,2022-01-04,15233
1641340800000,2022-01-05,15118
1641513600000,2022-01-07,15235
1641600000000,2022-01-08,15118
1641686400000,2022-01-09,15260
1641081600000,2022-01-02,15002
1641254400000,2022-01-04,15141
1641340800000,2022-01-05,15147
1641513600000,2022-01-07,15090
1641686400000,2022-01-09,15124
1641081600000,2022-01-02,15024
1641254400000,2022-01-04,15194
1641340800000,2022-01-05,15146
1641513600000,2022-01-07,15109
1641600000000,2022-01-08,15116
1641686400000,2022-01-09,15107
1641081600000,2022-01-02,15150
1641254400000,2022-01-04,15258
1641340800000,2022-01-05,15146
1641513600000,2022-01-07,15149
1641600000000,2022-01-08,15103
1641686400000,2022-01-09,15129
1641081600000,2022-01-02,15149
1641254400000,2022-01-04,15264
1641340800000,2022-01-05,15148
1641513600000,2022-01-07,15153
1641600000000,2022-01-08,15110
1641686400000,2022-01-09,15157
1641081600000,2022-01-02,15103
1641254400000,2022-01-04,15206
1641340800000,2022-01-05,15152
1641513600000,2022-01-07,15155
1641600000000,2022-01-08,15117
1641686400000,2022-01-09,15108
1641081600000,2022-01-02,15037
1641254400000,2022-01-04,15138
1641340800000,2022-01-05,15151
1641513600000,2022-01-07,15147
1641600000000,2022-01-08,15114
1641686400000,2022-01-09,15086
1641081600000,2022-01-02,15020
1641254400000,2022-01-04,15131
1641340800000,2022-01-05,15150
1641513600000,2022-01-07,15138
1641600000000,2022-01-08,15088
1641686400000,2022-01-09,15091
1641081600000,2022-01-02,15030
1641254400000,2022-01-04,15162
1641340800000,2022-01-05,15148
1641513600000,2022-01-07,15114
1641600000000,2022-01-08,15082
1641686400000,2022-01-09,15092
1641081600000,2022-01-02,14992
1641254400000,2022-01-04,15114
1641340800000,2022-01-05,15139
1641513600000,2022-01-07,15089
1641600000000,2022-01-08,15059
1641686400000,2022-01-09,15089
1641081600000,2022-01-02,14953
1641254400000,2022-01-04,15069
1641340800000,2022-01-05,15118
1641513600000,2022-01-07,15072
1641600000000,2022-01-08,15046
1641686400000,2022-01-09,15053
1641081600000,2022-01-02,14926
1641254400000,2022-01-04,15054
1641340800000,2022-01-05,15096
1641513600000,2022-01-07,15061
1641600000000,2022-01-08,15040
1641686400000,2022-01-09,15041
1641081600000,2022-01-02,14953
1641254400000,2022-01-04,15054
1641340800000,2022-01-05,15069
1641513600000,2022-01-07,15056
1641600000000,2022-01-08,15032
1641686400000,2022-01-09,15029
1641081600000,2022-01-02,14939
1641254400000,2022-01-04,15038
1641340800000,2022-01-05,15049
1641513600000,2022-01-07,15044
1641600000000,2022-01-08,15030
1641686400000,2022-01-09,15091
1641081600000,2022-01-02,14929
1641254400000,2022-01-04,15006
1641340800000,2022-01-05,15045
1641513600000,2022-01-07,15033
1641600000000,2022-01-08,15033
1641686400000,2022-01-09,15035
1641081600000,2022-01-02,14951
1641254400000,2022-01-04,15019
1641340800000,2022-01-05,15070
1641513600000,2022-01-07,15027
1641600000000,2022-01-08,15040
1641686400000,2022-01-09,15030
1641081600000,2022-01-02,15016
1641254400000,2022-01-04,15074
1641340800000,2022-01-05,15073
1641513600000,2022-01-07,15069
1641600000000,2022-01-08,15051
1641686400000,2022-01-09,15134
1641081600000,2022-01-02,15048
1641254400000,2022-01-04,15109
1641340800000,2022-01-05,15073
1641513600000,2022-01-07,15097
1641600000000,2022-01-08,15079
1641686400000,2022-01-09,15159
1641081600000,2022-01-02,15037
1641254400000,2022-01-04,15115
1641340800000,2022-01-05,15073
1641513600000,2022-01-07,15107
1641600000000,2022-01-08,15077
1641686400000,2022-01-09,15171
1641081600000,2022-01-02,15026
1641254400000,2022-01-04,15120
1641340800000,2022-01-05,15088
1641513600000,2022-01-07,15132
1641600000000,2022-01-08,15079
1641686400000,2022-01-09,15160
1641081600000,2022-01-02,15023
1641254400000,2022-01-04,15114
1641340800000,2022-01-05,15099
1641513600000,2022-01-07,15133
1641600000000,2022-01-08,15076
1641686400000,2022-01-09,15149
1641081600000,2022-01-02,15040
1641254400000,2022-01-04,15134
1641340800000,2022-01-05,15094
1641513600000,2022-01-07,15121
1641600000000,2022-01-08,15087
1641686400000,2022-01-09,15148
1641081600000,2022-01-02,15035
1641254400000,2022-01-04,15143
1641340800000,2022-01-05,15087
1641513600000,2022-01-07,15118
1641600000000,2022-01-08,15090
1641686400000,2022-01-09,15147
1641081600000,2022-01-02,15066
1641254400000,2022-01-04,15140
1641340800000,2022-01-05,15152
1641513600000,2022-01-07,15090
1641600000000,2022-01-08,15044
1641081600000,2022-01-02,15035
1641254400000,2022-01-04,15172
1641340800000,2022-01-05,15148
1641513600000,2022-01-07,15113
1641600000000,2022-01-08,15051
1641686400000,2022-01-09,15124
1641081600000,2022-01-02,15042
1641254400000,2022-01-04,15218
1641340800000,2022-01-05,15145
1641513600000,2022-01-07,15134
1641600000000,2022-01-08,15091
1641686400000,2022-01-09,15119
1641081600000,2022-01-02,15087
1641254400000,2022-01-04,15213
1641340800000,2022-01-05,15144
1641513600000,2022-01-07,15169
1641600000000,2022-01-08,15114
1641686400000,2022-01-09,15106
1641081600000,2022-01-02,15170
1641254400000,2022-01-04,15260
1641340800000,2022-01-05,15143
1641513600000,2022-01-07,15192
1641600000000,2022-01-08,15122
1641686400000,2022-01-09,15163
1641081600000,2022-01-02,15162
1641254400000,2022-01-04,15277
1641340800000,2022-01-05,15163
1641513600000,2022-01-07,15192
1641600000000,2022-01-08,15132
1641686400000,2022-01-09,15165
1641081600000,2022-01-02,15040
1641254400000,2022-01-04,15158
1641340800000,2022-01-05,15115
1641513600000,2022-01-07,15139
1641600000000,2022-01-08,15132
1641686400000,2022-01-09,15064
1641081600000,2022-01-02,15005
1641254400000,2022-01-04,15115
1641340800000,2022-01-05,15094
1641513600000,2022-01-07,15109
1641600000000,2022-01-08,15098
1641686400000,2022-01-09,15070
1641081600000,2022-01-02,14993
1641254400000,2022-01-04,15131
1641340800000,2022-01-05,15073
1641513600000,2022-01-07,15091
1641600000000,2022-01-08,15077
1641686400000,2022-01-09,15091
1641081600000,2022-01-02,14977
1641254400000,2022-01-04,15093
1641340800000,2022-01-05,15058
1641513600000,2022-01-07,15058
1641600000000,2022-01-08,15063
1641081600000,2022-01-02,14935
1641254400000,2022-01-04,15045
1641340800000,2022-01-05,15046
1641513600000,2022-01-07,15048
1641600000000,2022-01-08,15032
1641081600000,2022-01-02,14916
1641254400000,2022-01-04,15025
1641340800000,2022-01-05,15035
1641513600000,2022-01-07,15024
1641600000000,2022-01-08,15020
1641081600000,2022-01-02,14900
1641254400000,2022-01-04,15013
1641340800000,2022-01-05,15033
1641513600000,2022-01-07,15004
1641600000000,2022-01-08,15001
1641081600000,2022-01-02,14877
1641254400000,2022-01-04,14967
1641340800000,2022-01-05,15033
1641513600000,2022-01-07,14985
1641600000000,2022-01-08,14980
1641081600000,2022-01-02,14875
1641254400000,2022-01-04,14937
1641340800000,2022-01-05,15052
1641513600000,2022-01-07,14952
1641600000000,2022-01-08,14966
1641686400000,2022-01-09,15019
1641081600000,2022-01-02,14901
1641254400000,2022-01-04,14966
1641340800000,2022-01-05,15060
1641513600000,2022-01-07,14946
1641600000000,2022-01-08,14964
1641686400000,2022-01-09,15022
1641081600000,2022-01-02,14928
1641254400000,2022-01-04,15025
1641340800000,2022-01-05,15051
1641513600000,2022-01-07,15051
1641600000000,2022-01-08,15004
1641686400000,2022-01-09,15066
1641081600000,2022-01-02,14987
1641254400000,2022-01-04,15079
1641340800000,2022-01-05,15034
1641513600000,2022-01-07,15073
1641600000000,2022-01-08,15026
1641686400000,2022-01-09,15092
1641081600000,2022-01-02,14972
1641254400000,2022-01-04,15090
1641340800000,2022-01-05,15020
1641513600000,2022-01-07,15063
1641600000000,2022-01-08,15045
1641686400000,2022-01-09,15116
1641081600000,2022-01-02,14961
1641254400000,2022-01-04,15070
1641340800000,2022-01-05,15053
1641513600000,2022-01-07,15089
1641600000000,2022-01-08,15053
1641686400000,2022-01-09,15115
1641081600000,2022-01-02,14969
1641254400000,2022-01-04,15082
1641340800000,2022-01-05,15064
1641513600000,2022-01-07,15086
1641600000000,2022-01-08,15052
1641686400000,2022-01-09,15116
1641081600000,2022-01-02,15000
1641254400000,2022-01-04,15090
1641340800000,2022-01-05,15061
1641513600000,2022-01-07,15086
1641600000000,2022-01-08,15073
1641686400000,2022-01-09,15137
1641081600000,2022-01-02,15037
1641254400000,2022-01-04,15129
1641340800000,2022-01-05,15061
1641513600000,2022-01-07,15161
1641600000000,2022-01-08,15080
1641686400000,2022-01-09,15191
1641081600000,2022-01-02,15073
1641254400000,2022-01-04,15198
1641340800000,2022-01-05,15061
1641513600000,2022-01-07,15161
1641600000000,2022-01-08,15094
1641686400000,2022-01-09,15253
1641081600000,2022-01-02,15052
1641254400000,2022-01-04,15213
1641340800000,2022-01-05,15152
1641513600000,2022-01-07,15138
1641600000000,2022-01-08,15050
