time,datetime,LST_Day_1km
1641081600000,2022-01-02,14905
1641081600000,2022-01-02,14759
1641081600000,2022-01-02,14834
1641081600000,2022-01-02,14855
1641081600000,2022-01-02,14793
1641081600000,2022-01-02,14828
1641081600000,2022-01-02,14880
1641081600000,2022-01-02,14915
1641081600000,2022-01-02,14857
1641081600000,2022-01-02,14827
1641081600000,2022-01-02,14855
1641081600000,2022-01-02,14903
1641081600000,2022-01-02,14827
1641081600000,2022-01-02,14798
1641081600000,2022-01-02,14745
1641081600000,2022-01-02,14774
1641081600000,2022-01-02,14944
1641081600000,2022-01-02,14944
1641081600000,2022-01-02,14796
1641081600000,2022-01-02,14794
1641081600000,2022-01-02,14773
1641081600000,2022-01-02,14707
1641081600000,2022-01-02,14934
1641081600000,2022-01-02,14929
1641081600000,2022-01-02,14816
1641081600000,2022-01-02,14807
1641081600000,2022-01-02,14807
1641081600000,2022-01-02,14844
1641081600000,2022-01-02,14878
1641081600000,2022-01-02,14900
1641081600000,2022-01-02,14915
1641427200000,2022-01-06,14935
1641081600000,2022-01-02,14946
1641427200000,2022-01-06,14969
1641081600000,2022-01-02,14946
1641427200000,2022-01-06,14969
1641081600000,2022-01-02,14958
1641081600000,2022-01-02,14903
1641427200000,2022-01-06,14926
1641081600000,2022-01-02,14902
1641427200000,2022-01-06,14943
1641081600000,2022-01-02,14932
1641427200000,2022-01-06,14941
1641081600000,2022-01-02,14950
1641427200000,2022-01-06,14920
1641081600000,2022-01-02,14899
1641427200000,2022-01-06,14916
1641081600000,2022-01-02,14874
1641427200000,2022-01-06,14918
1641081600000,2022-01-02,14841
1641427200000,2022-01-06,14920
1641081600000,2022-01-02,14797
1641427200000,2022-01-06,14920
1641081600000,2022-01-02,14762
1641081600000,2022-01-02,14876
1641427200000,2022-01-06,14904
1641081600000,2022-01-02,14833
1641427200000,2022-01-06,14898
1641081600000,2022-01-02,14804
1641427200000,2022-01-06,14896
1641081600000,2022-01-02,14779
1641081600000,2022-01-02,14716
1641081600000,2022-01-02,14696
1641081600000,2022-01-02,14836
1641427200000,2022-01-06,14901
1641081600000,2022-01-02,14797
1641427200000,2022-01-06,14888
1641081600000,2022-01-02,14795
1641081600000,2022-01-02,14725
1641081600000,2022-01-02,14762
1641081600000,2022-01-02,14846
1641427200000,2022-01-06,14911
1641081600000,2022-01-02,14803
1641427200000,2022-01-06,14888
1641081600000,2022-01-02,14791
1641081600000,2022-01-02,14773
1641081600000,2022-01-02,14757
1641081600000,2022-01-02,14835
1641081600000,2022-01-02,14827
1641081600000,2022-01-02,14830
1641081600000,2022-01-02,14831
1641081600000,2022-01-02,14853
1641081600000,2022-01-02,14862
1641081600000,2022-01-02,14829
1641081600000,2022-01-02,14832
1641081600000,2022-01-02,14862
1641081600000,2022-01-02,14803
1641081600000,2022-01-02,14764
1641081600000,2022-01-02,14861
1641081600000,2022-01-02,14860
1641081600000,2022-01-02,14887
1641081600000,2022-01-02,14898
1641081600000,2022-01-02,14892
1641081600000,2022-01-02,14758
1641081600000,2022-01-02,14734
1641081600000,2022-01-02,14710
1641081600000,2022-01-02,14710
1641081600000,2022-01-02,14922
1641081600000,2022-01-02,14873
1641427200000,2022-01-06,14846
1641081600000,2022-01-02,14896
1641427200000,2022-01-06,14886
1641081600000,2022-01-02,14925
1641427200000,2022-01-06,14904
1641081600000,2022-01-02,14898
1641427200000,2022-01-06,14884
1641081600000,2022-01-02,14956
1641427200000,2022-01-06,14905
1641081600000,2022-01-02,14944
1641427200000,2022-01-06,14934
1641081600000,2022-01-02,14927
1641427200000,2022-01-06,14912
1641081600000,2022-01-02,14919
1641427200000,2022-01-06,14942
1641081600000,2022-01-02,14934
1641427200000,2022-01-06,14951
1641081600000,2022-01-02,14970
1641427200000,2022-01-06,14961
1641081600000,2022-01-02,14996
1641427200000,2022-01-06,14959
1641081600000,2022-01-02,14976
1641427200000,2022-01-06,14925
1641081600000,2022-01-02,14925
1641427200000,2022-01-06,14901
1641081600000,2022-01-02,14926
1641427200000,2022-01-06,14921
1641081600000,2022-01-02,14920
1641427200000,2022-01-06,14929
1641081600000,2022-01-02,14932
1641427200000,2022-01-06,14927
1641081600000,2022-01-02,14975
1641427200000,2022-01-06,14928
1641081600000,2022-01-02,15005
1641427200000,2022-01-06,14928
1641081600000,2022-01-02,14968
1641427200000,2022-01-06,14934
1641081600000,2022-01-02,14928
1641427200000,2022-01-06,14899
1641686400000,2022-01-09,14551
1641081600000,2022-01-02,14913
1641427200000,2022-01-06,14899
1641686400000,2022-01-09,14551
1641081600000,2022-01-02,14943
1641427200000,2022-01-06,14890
1641686400000,2022-01-09,14653
1641081600000,2022-01-02,14901
1641427200000,2022-01-06,14903
1641081600000,2022-01-02,14963
1641427200000,2022-01-06,14933
1641081600000,2022-01-02,14983
1641427200000,2022-01-06,14957
1641081600000,2022-01-02,14977
1641427200000,2022-01-06,14969
1641081600000,2022-01-02,14956
1641427200000,2022-01-06,14917
1641686400000,2022-01-09,14551
