time,datetime,LST_Day_1km
1641254400000,2022-01-04,14873
1641686400000,2022-01-09,14942
1641254400000,2022-01-04,14904
1641600000000,2022-01-08,14891
1641686400000,2022-01-09,14904
1641254400000,2022-01-04,14888
1641600000000,2022-01-08,14904
1641686400000,2022-01-09,14924
1641254400000,2022-01-04,14889
1641600000000,2022-01-08,14918
1641686400000,2022-01-09,14925
1641254400000,2022-01-04,14953
1641600000000,2022-01-08,14879
1641686400000,2022-01-09,14907
1641254400000,2022-01-04,14897
1641600000000,2022-01-08,14871
1641686400000,2022-01-09,14902
1641254400000,2022-01-04,14878
1641600000000,2022-01-08,14884
1641686400000,2022-01-09,14893
1641600000000,2022-01-08,14888
1641686400000,2022-01-09,14878
1641600000000,2022-01-08,14878
1641686400000,2022-01-09,14907
1641254400000,2022-01-04,14965
1641600000000,2022-01-08,14870
1641686400000,2022-01-09,14894
1641254400000,2022-01-04,14899
1641600000000,2022-01-08,14864
1641686400000,2022-01-09,14885
1641254400000,2022-01-04,14871
1641600000000,2022-01-08,14868
1641686400000,2022-01-09,14867
1641254400000,2022-01-04,14862
1641600000000,2022-01-08,14878
1641686400000,2022-01-09,14837
1641254400000,2022-01-04,15028
1641513600000,2022-01-07,14741
1641254400000,2022-01-04,14886
1641600000000,2022-01-08,14845
1641686400000,2022-01-09,14862
1641254400000,2022-01-04,14889
1641600000000,2022-01-08,14845
1641686400000,2022-01-09,14864
1641254400000,2022-01-04,14893
1641600000000,2022-01-08,14845
1641686400000,2022-01-09,14878
1641254400000,2022-01-04,15016
1641513600000,2022-01-07,14741
1641254400000,2022-01-04,15018
1641513600000,2022-01-07,14741
1641254400000,2022-01-04,14973
1641513600000,2022-01-07,14741
1641686400000,2022-01-09,14862
1641254400000,2022-01-04,14879
1641600000000,2022-01-08,14845
1641686400000,2022-01-09,14862
1641254400000,2022-01-04,14855
1641600000000,2022-01-08,14845
1641686400000,2022-01-09,14870
1641254400000,2022-01-04,14859
1641513600000,2022-01-07,14834
1641600000000,2022-01-08,14845
1641686400000,2022-01-09,14878
1641513600000,2022-01-07,14834
1641600000000,2022-01-08,14880
1641686400000,2022-01-09,14878
1641254400000,2022-01-04,14922
1641513600000,2022-01-07,14741
1641686400000,2022-01-09,14889
1641254400000,2022-01-04,14943
1641513600000,2022-01-07,14741
1641686400000,2022-01-09,14889
1641254400000,2022-01-04,14917
1641513600000,2022-01-07,14742
1641254400000,2022-01-04,14910
1641513600000,2022-01-07,14743
1641254400000,2022-01-04,14813
1641513600000,2022-01-07,14743
1641600000000,2022-01-08,14845
1641254400000,2022-01-04,14831
1641513600000,2022-01-07,14755
1641600000000,2022-01-08,14845
1641254400000,2022-01-04,14842
1641513600000,2022-01-07,14834
1641600000000,2022-01-08,14879
1641686400000,2022-01-09,14725
